backbone,sliding_style,sampler,mAP,f1_macro,precision_macro,recall_macro,biting_f1_macro,biting_mAP,biting_precision_macro,biting_recall_macro,aggression_f1_macro,aggression_mAP,aggression_precision_macro,aggression_recall_macro
dino,frames,balanced,0.0707654505968093,0.0949211791157722,0.0689697414636612,0.1866758167743683,0.2365824878215789,0.1758367419242859,0.1720553487539291,0.4515380263328552,0.0007204610737971,0.0010768740903586,0.0003690036828629,0.0151515156030654
dino_large,frames,balanced,0.0765356197953224,0.1040452793240547,0.0772481858730316,0.1904057711362838,0.2585980594158172,0.1899298429489135,0.1923355311155319,0.4542753100395202,0.0015151514671742,0.0014092058409005,0.0007849293760955,0.0217391308397054
dino,frames_w_temp,balanced,0.0727996304631233,0.0938195437192916,0.0701972320675849,0.1841320693492889,0.2345488667488098,0.1809237003326416,0.1754930764436721,0.4603301882743835,0.0,0.0010753652313724,0.0,0.0
dino_large,frames_w_temp,balanced,0.0785368457436561,0.1059669405221939,0.0768588259816169,0.223467543721199,0.2615303993225097,0.1947920769453048,0.1903849393129348,0.515190601348877,0.0033869601320475,0.0015500378794968,0.0017621145816519,0.0434782616794109
videomae,sliding_window,balanced,0.0676115527749061,0.0627948567271232,0.2452519237995147,0.1302900165319442,0.1369871497154235,0.104219302535057,0.1131297871470451,0.3155209422111511,0.0199999995529651,0.0648095831274986,0.5,0.0102040814235806
videomae,sliding_window_w_stride,balanced,0.0555769316852092,0.0607089065015316,0.0483024381101131,0.123925432562828,0.1517722606658935,0.1114843338727951,0.120756097137928,0.3098135888576507,0.0,0.0274579897522926,0.0,0.0
videomae,sliding_window_w_temp,balanced,0.0650297030806541,0.0602899566292762,0.0512216463685035,0.1531529873609542,0.1266811788082122,0.1112935990095138,0.1153520420193672,0.1583926826715469,0.0240437164902687,0.0512806698679924,0.0127020785585045,0.2244897931814193
