backbone,sliding_style,sampler,mAP,f1_macro,precision_macro,recall_macro,movement_f1_macro,movement_mAP,movement_precision_macro,movement_recall_macro,biting_f1_macro,biting_mAP,biting_precision_macro,biting_recall_macro,foraging_f1_macro,foraging_mAP,foraging_precision_macro,foraging_recall_macro,interactions_f1_macro,interactions_mAP,interactions_precision_macro,interactions_recall_macro,habitat_f1_macro,habitat_mAP,habitat_precision_macro,habitat_recall_macro,other_f1_macro,other_mAP,other_precision_macro,other_recall_macro
dino,frames,balanced,0.195373073220253,0.1619103252887725,0.2132436782121658,0.16532863676548,0.1315117329359054,0.1534743010997772,0.1575208455324173,0.1128744333982467,0.0005148885538801,0.0217644199728965,0.0109312254935503,0.0002715695591177,0.4683170914649963,0.528606116771698,0.5461500883102417,0.4499410390853882,0.0385267995297908,0.1325734555721283,0.2745703458786011,0.0207168590277433,0.4841972589492798,0.4893742799758911,0.4813151359558105,0.5559212565422058,0.0,0.0123587567359209,0.0,0.0
dino_large,frames,balanced,0.1950987130403518,0.179985836148262,0.2099011838436126,0.1866057813167572,0.2148690968751907,0.240483745932579,0.263931393623352,0.1811880022287368,0.0022079665213823,0.0203757993876934,0.0190559234470129,0.0011941557750105,0.5355488061904907,0.5261692404747009,0.5147453546524048,0.562595784664154,0.0466876216232776,0.1441571861505508,0.2456484884023666,0.0257951021194458,0.4710077345371246,0.4348591864109039,0.4373396933078766,0.5273110866546631,0.0002828854485414,0.0047892704606056,0.0001472754083806,0.0035714288242161
dino,frames_w_temp,balanced,0.1926510483026504,0.1729047447443008,0.2020305097103119,0.1725870966911316,0.1841449588537216,0.175748810172081,0.1871669739484787,0.1812189817428589,0.0059125628322362,0.0210062954574823,0.0280284639447927,0.0033059630077332,0.470302939414978,0.5244569778442383,0.5244664549827576,0.4383454918861389,0.0668670311570167,0.1414729058742523,0.192176803946495,0.0404876954853534,0.4848815500736236,0.4676683843135834,0.4680775701999664,0.5465269684791565,0.0,0.0033407390583306,0.0,0.0
dino_large,frames_w_temp,balanced,0.1936310678720474,0.1609497964382171,0.2232128381729126,0.1686143428087234,0.1827984899282455,0.2438825368881225,0.2911913394927978,0.1332118213176727,0.0,0.0209597181528806,0.0,0.0,0.4961017072200775,0.5229869484901428,0.5440691113471985,0.4915763735771179,0.0318942964076995,0.1357131153345108,0.3317683935165405,0.0167523864656686,0.4231370687484741,0.4289790689945221,0.418120414018631,0.5269590020179749,0.0,0.0075959796085953,0.0,0.0
videomae,sliding_window,balanced,0.1904640793800354,0.1464296281337738,0.1934645175933838,0.1686688959598541,0.1735318601131439,0.1943059116601944,0.2297109514474868,0.139431819319725,0.0,0.0223781000822782,0.0,0.0,0.4845212697982788,0.4946895539760589,0.4506913423538208,0.5791553854942322,0.0300503764301538,0.1446019262075424,0.2966488003730774,0.0158268138766288,0.345937967300415,0.4494827687740326,0.3892825543880462,0.4365225434303283,0.0,0.0129668954759836,0.0,0.0
videomae,sliding_window_w_stride,balanced,0.189031183719635,0.1585955023765564,0.1940773576498031,0.1828644573688507,0.1564221382141113,0.1910928040742874,0.2254998087882995,0.1197415441274643,0.0023523261770606,0.0241006948053836,0.026392962783575,0.0012310217134654,0.4852583110332489,0.4849743545055389,0.4300066828727722,0.590301513671875,0.0372910909354686,0.1435004323720932,0.2574813663959503,0.0201011728495359,0.427336037158966,0.4577830731868744,0.4208371639251709,0.5272246599197388,0.0,0.0086523480713367,0.0,0.0
videomae,sliding_window_w_temp,balanced,0.1975412219762802,0.1686763316392898,0.2206731438636779,0.1896933764219284,0.2220349758863449,0.2034588009119033,0.2133272886276245,0.2314837723970413,0.0014544716104865,0.0258935429155826,0.0671875029802322,0.0007351935491897,0.4628496170043945,0.5035579800605774,0.4955809712409973,0.502748966217041,0.0429602861404418,0.1484441310167312,0.2742985486984253,0.0233051553368568,0.4687364399433136,0.4793176651000976,0.4694732129573822,0.583265483379364,0.0,0.0092747267335653,0.0,0.0
