backbone,sliding_style,sampler,mAP,f1_macro,acc,biting_f1_macro,biting_mAP,biting_acc,aggression_f1_macro,aggression_mAP,aggression_acc
dino,frames,balanced,0.0809633880853653,0.1079875752329826,0.9289489984512328,0.2692505717277527,0.2011243551969528,0.8330280184745789,0.0007183908019214,0.0012841168791055,0.9893444180488586
dino,frames,random,0.0904525965452194,0.0430477820336818,0.9671775102615356,0.1076194569468498,0.2255064845085144,0.9183493852615356,0.0,0.0006250174483284,0.9995944499969482
dino_large,frames,balanced,0.0865532681345939,0.1167875900864601,0.9350574016571044,0.2897099554538727,0.2146750688552856,0.8482731580734253,0.0022590360604226,0.001708110794425,0.9893702268600464
dino_large,frames,random,0.0915045887231826,0.0384942963719368,0.9663423895835876,0.0962357372045517,0.2281758338212967,0.9163687229156494,0.0,0.0005856320494785,0.9994872212409972
dino,frames_w_temp,balanced,0.0829038769006729,0.1064317673444747,0.9263312220573424,0.2660794258117676,0.2059631645679474,0.8279309868812561,0.0,0.0012965329224243,0.9878971576690674
dino,frames_w_temp,random,0.0898975282907486,0.0422212667763233,0.9670432806015016,0.1055531650781631,0.2240408807992935,0.9180137515068054,0.0,0.0007029252010397,0.9995944499969482
dino_large,frames_w_temp,balanced,0.0884193629026413,0.1198299154639244,0.9296385645866394,0.2953695654869079,0.219120055437088,0.8336451649665833,0.0042052143253386,0.0019283834844827,0.9904512166976928
dino_large,frames_w_temp,random,0.0903316587209701,0.0373957157135009,0.9664227366447448,0.0934892892837524,0.225242406129837,0.9165696501731871,0.0,0.0005867232684977,0.9994872212409972
videomae,sliding_window,balanced,0.0817413553595542,0.0729807764291763,0.9150310158729552,0.1652105450630188,0.1269176304340362,0.7881117463111877,0.0172413792461156,0.0774357765913009,0.999465823173523
videomae,sliding_window,random,0.054045807570219,0.0,0.9667966365814208,0.0,0.1341807246208191,0.9175326824188232,0.0,0.0009337982628494,0.9994588494300842
videomae,sliding_window_w_stride,balanced,0.0688255876302719,0.0725122913718223,0.9205144643783568,0.1812807321548462,0.1360586434602737,0.8018273711204529,0.0,0.0360053218901157,0.9994588494300842
videomae,sliding_window_w_stride,random,0.0542716272175312,0.0,0.9667966365814208,0.0,0.1348918974399566,0.9175326824188232,0.0,0.0007871811976656,0.9994588494300842
videomae,sliding_window_w_temp,balanced,0.081413447856903,0.0683138519525528,0.9364182353019714,0.1441258490085601,0.133647084236145,0.8576681613922119,0.0266587659716606,0.0698865428566932,0.9833775162696838
videomae,sliding_window_w_temp,random,0.057107638567686,0.0,0.9667966365814208,0.0,0.1353461742401123,0.9175326824188232,0.0,0.0074229193851351,0.9994588494300842
