backbone,sliding_style,sampler,mAP,f1_macro,acc,biting_f1_macro,biting_mAP,biting_acc,aggression_f1_macro,aggression_mAP,aggression_acc
dino,frames,balanced,0.0641773119568824,0.0839496031403541,0.9328056573867798,0.2091525197029113,0.1594918817281723,0.8425369262695312,0.0007215007208287,0.0009513848926872,0.989477276802063
dino,frames,random,0.0739143341779708,0.0464201569557189,0.9771590828895568,0.1160503923892974,0.1843295395374298,0.9431703686714172,0.0,0.0004563010006677,0.9997273087501526
dino_large,frames,balanced,0.0697067603468895,0.0926191136240959,0.9392704963684082,0.2307879030704498,0.1730369925498962,0.8586673140525818,0.0007598784286528,0.0012299210065975,0.989508867263794
dino_large,frames,random,0.0737299472093582,0.0409809499979019,0.9763429164886476,0.1024523749947547,0.183893620967865,0.941203773021698,0.0,0.0004312481323722,0.9996535181999208
dino,frames_w_temp,balanced,0.0659102499485015,0.0831180736422538,0.9300481081008912,0.2077951729297638,0.1638415306806564,0.837090253829956,0.0,0.000934101990424,0.988029956817627
dino,frames_w_temp,random,0.0737959444522857,0.0453549101948738,0.9770136475563048,0.1133872792124748,0.183956891298294,0.9428067803382874,0.0,0.0005329746054485,0.9997273087501526
dino_large,frames_w_temp,balanced,0.0716466009616851,0.0936185866594314,0.9328205585479736,0.2314976006746292,0.1777800619602203,0.8414615392684937,0.0025488529354333,0.0013364364858716,0.9905898571014404
dino_large,frames_w_temp,random,0.0733555778861045,0.0399056710302829,0.97645103931427,0.0997641757130622,0.1829668581485748,0.9414740204811096,0.0,0.0004220936098136,0.9996535181999208
videomae,sliding_window,balanced,0.0519841834902763,0.0555469095706939,0.9196542501449584,0.1156114637851715,0.0893189534544944,0.7994754910469055,0.0232558138668537,0.0406415089964866,0.999660074710846
videomae,sliding_window,random,0.0386682227253913,0.0,0.9775415658950806,0.0,0.0958681404590606,0.944200873374939,0.0,0.0008024151320569,0.9996531009674072
videomae,sliding_window_w_stride,balanced,0.0459102243185043,0.0516362451016902,0.9253208637237548,0.1290906071662902,0.0951633304357528,0.81364905834198,0.0,0.0196122284978628,0.9996531009674072
videomae,sliding_window_w_stride,random,0.0390413589775562,0.0,0.9775415658950806,0.0,0.0969929546117782,0.944200873374939,0.0,0.0006104356143623,0.9996531009674072
videomae,sliding_window_w_temp,balanced,0.048013262450695,0.0533762089908123,0.944443702697754,0.1114140897989273,0.0964879840612411,0.8776068091392517,0.0220264308154582,0.0235451776534318,0.9835023880004884
videomae,sliding_window_w_temp,random,0.0442829430103302,0.0,0.9775415658950806,0.0,0.1016511395573616,0.944200873374939,0.0,0.0090562216937541,0.9996531009674072
