backbone,sliding_style,sampler,mAP,f1_macro,acc,biting_f1_macro,biting_mAP,biting_acc,aggression_f1_macro,aggression_mAP,aggression_acc
dino,frames,balanced,0.0979727581143379,0.1223880350589752,0.9228912591934204,0.3052558004856109,0.2431073486804962,0.8180515170097351,0.0007142857066355,0.0018245596438646,0.989176630973816
dino,frames,random,0.1065915822982788,0.0383944138884544,0.9550117254257202,0.0959860384464263,0.2657052278518677,0.8881027102470398,0.0,0.0007737389532849,0.9994266629219056
dino_large,frames,balanced,0.1037173420190811,0.12936332821846,0.9283746480941772,0.3204321265220642,0.2569580674171448,0.8317742347717285,0.0029761905316263,0.0023352936841547,0.9891623854637146
dino_large,frames,random,0.1082074418663978,0.0345899276435375,0.9541770815849304,0.0864748209714889,0.2697215378284454,0.8861771821975708,0.0,0.0007970535662025,0.9992654919624328
dino,frames_w_temp,balanced,0.0997322648763656,0.1218638941645622,0.9205923676490784,0.3046597242355346,0.247482568025589,0.8137515187263489,0.0,0.0018481004517525,0.98772931098938
dino,frames_w_temp,random,0.1061642169952392,0.0374345555901527,0.9548271894454956,0.0935863852500915,0.2645378112792969,0.8876412510871887,0.0,0.0008727366803213,0.9994266629219056
dino_large,frames_w_temp,balanced,0.1052034720778465,0.1345802992582321,0.9238760471343994,0.3314714729785919,0.2602881491184234,0.8194467425346375,0.0049792532809078,0.002720515942201,0.9902433753013612
dino_large,frames_w_temp,random,0.1061607748270034,0.0335146896541118,0.9542352557182312,0.0837867259979248,0.2645904421806335,0.8863226771354675,0.0,0.000811509671621,0.9992654919624328
videomae,sliding_window,balanced,0.0969705656170845,0.08859783411026,0.9092894792556764,0.2079810798168182,0.1697375625371933,0.7739798426628113,0.0135135138407349,0.0726888477802276,0.9992437958717346
videomae,sliding_window,random,0.0709883347153663,0.0,0.9542450904846193,0.0,0.1763928234577179,0.8863759636878967,0.0,0.0010780331213027,0.9992368817329408
videomae,sliding_window_w_stride,balanced,0.0885002017021179,0.0897366851568222,0.9144843220710754,0.2243417203426361,0.1806808710098266,0.7869739532470703,0.0,0.0405696369707584,0.9992368817329408
videomae,sliding_window_w_stride,random,0.0711081773042678,0.0,0.9542450904846193,0.0,0.1768089532852172,0.8863759636878967,0.0,0.0009614930022507,0.9992368817329408
videomae,sliding_window_w_temp,balanced,0.1018552407622337,0.0792670547962188,0.927074670791626,0.1670491248369217,0.1764190196990966,0.8344618678092957,0.0311185009777545,0.0782190933823585,0.983224868774414
videomae,sliding_window_w_temp,random,0.0718284100294113,0.0,0.9542450904846193,0.0,0.1731697022914886,0.8863759636878967,0.0,0.0064013316296041,0.9992368817329408
