backbone,sliding_style,sampler,mAP,f1_macro,acc,movement_f1_macro,movement_mAP,movement_precision_macro,movement_recall_macro,biting_f1_macro,biting_mAP,biting_precision_macro,biting_recall_macro,foraging_f1_macro,foraging_mAP,foraging_precision_macro,foraging_recall_macro,interactions_f1_macro,interactions_mAP,interactions_precision_macro,interactions_recall_macro,habitat_f1_macro,habitat_mAP,habitat_precision_macro,habitat_recall_macro,other_f1_macro,other_mAP,other_precision_macro,other_recall_macro
dino,frames,balanced,0.1923777759075164,0.1618092358112335,0.8925893902778625,0.1315931379795074,0.152797982096672,0.1570212244987487,0.1132529079914093,0.0005111353821121,0.0093295499682426,0.0031104595400393,0.0002958229742944,0.4678813219070434,0.5271902084350586,0.5444003343582153,0.4502512812614441,0.0387543961405754,0.1320928782224655,0.2744674384593963,0.0208491310477256,0.4836821556091308,0.4884542226791382,0.4801686406135559,0.556491494178772,0.0,0.0122858341783285,0.0,0.0
dino_large,frames,balanced,0.19215789437294,0.1797476112842559,0.8958922624588013,0.2149814665317535,0.2395373284816742,0.2630464136600494,0.1817680597305297,0.0021875593811273,0.0087838564068079,0.0062979189679026,0.0013236647937446,0.534659743309021,0.5245225429534912,0.5127535462379456,0.5629338026046753,0.046920072287321,0.1436567306518554,0.2453540116548538,0.02594037912786,0.4702586233615875,0.4337064921855926,0.4359169900417328,0.5278370976448059,0.0001447177928639,0.0046580997295677,7.363770419033244e-05,0.0041666668839752
dino,frames_w_temp,balanced,0.1897388994693756,0.1727227568626403,0.8902686834335327,0.1840253919363021,0.1750503331422805,0.1864274591207504,0.1816844493150711,0.005549818277359,0.0090499073266983,0.0128894643858075,0.003538395743817,0.4698893427848816,0.5230289101600647,0.5228639841079712,0.4386840760707855,0.067041240632534,0.140896126627922,0.1916099041700363,0.0406408123672008,0.4844710230827331,0.4668238461017608,0.4670073390007019,0.5472327470779419,0.0,0.0032461727969348,0.0,0.0
dino_large,frames_w_temp,balanced,0.1906134039163589,0.1607808917760849,0.8908482789993286,0.1830313056707382,0.2428781688213348,0.2902551591396332,0.1336568146944046,0.0,0.0090553453192114,0.0,0.0,0.4954535961151123,0.5212997198104858,0.5420355200767517,0.4918476343154907,0.0321018621325492,0.1352741122245788,0.3317683935165405,0.0168669540435075,0.4222962856292724,0.4277312457561493,0.4167500436306,0.5275648832321167,0.0,0.0074750212952494,0.0,0.0
videomae,sliding_window,balanced,0.1873584240674972,0.1462598890066146,0.8841085433959961,0.1734413355588913,0.1932088881731033,0.2286484837532043,0.1397086977958679,0.0,0.0096058137714862,0.0,0.0,0.4837750196456909,0.4933611154556274,0.4493991136550903,0.5794520378112793,0.0302086044102907,0.1440538614988327,0.296291321516037,0.0159156490117311,0.3454548120498657,0.4485054016113281,0.3882943987846374,0.4367660284042358,0.0,0.0129132969304919,0.0,0.0
videomae,sliding_window_w_stride,balanced,0.1857163161039352,0.1583204567432403,0.8860080242156982,0.1563018709421157,0.189964935183525,0.2243553847074508,0.1199250966310501,0.0020132297649979,0.0103410184383392,0.0102639300748705,0.0011160714784637,0.484422504901886,0.4835995137691498,0.4286690950393677,0.5905278325080872,0.0374603345990181,0.1429245173931121,0.2570233345031738,0.0202023833990097,0.4267013669013977,0.4568351805210113,0.4197185337543487,0.527557909488678,0.0,0.0085909757763147,0.0,0.0
videomae,sliding_window_w_temp,balanced,0.1940548717975616,0.168509840965271,0.8933437466621399,0.2217015624046325,0.2024434059858322,0.2123329490423202,0.2319350838661193,0.0014769900590181,0.0111350687220692,0.0296874996274709,0.0007573341717943,0.4623337984085083,0.5022504329681396,0.4943479597568512,0.5031266212463379,0.0431464128196239,0.1479629278182983,0.2737654149532318,0.0234186351299285,0.4681482911109924,0.4784279763698578,0.4683411419391632,0.5838292241096497,0.0,0.0091492412611842,0.0,0.0
