model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,aggregator,batch_size,classifier,weight_decay,learning_rate,sliding_style,weight_config,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,mAP,acc,f1_per_class,precision_per_class,recall_per_class,mAP_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_mAP,biting_acc,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_mAP,aggression_acc,mouth not visible,feeding,charging,being charged,cturn,id,label_type,val_subset,train_subset
,40,coralcam,val_mAP,mean,balanced,False,dino_large,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,duhn3c2b,coralcam,test_frames,1000,n6w2ccic,0.42097026109695435,0.09167521446943283,0.3413933515548706,0.08129677176475525,0.5489206314086914,0.12864349782466888,0.08497991412878036,0.9615384340286255,"[0.44667163491249084, 0.011704462580382824, 0.0, 0.0, 0.0]","[0.34398382902145386, 0.0625, 0.0, 0.0, 0.0]","[0.6367606520652771, 0.006456819828599691, 0.0, 0.0, 0.0]","[0.39508572220802307, 0.028854338452219963, -0.0, 0.00064338423544541, 0.0003161573549732566]","[8014, 1239, 0, 46, 12]",0.4221176207065582,0.22918805480003357,0.34157589077949524,0.20324191451072693,0.5523613691329956,0.3216087222099304,0.2119700312614441,0.9042975306510925,0.0,0.0,0.0,0.0,0.0,0.0,0.0004797707952093333,0.999548614025116,"[[55366, 2911], [9732, 5103]]","[[71753, 1231], [120, 8]]","[[73112, 0], [0, 0]]","[[73060, 46], [6, 0]]","[[73098, 12], [2, 0]]",dino_balanced_focal_finetune_coralcam_frames,onehot,,
,100,coralcam,val_mAP,mean,random,False,resnet50,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",fish-benchmark,u6594yjh,coralcam,test_frames,1000,vcbmxcr7,0.3619648218154907,0.07855597138404846,0.36605405807495117,0.20652464032173157,0.35796594619750977,0.08364197611808777,0.08837565034627914,0.9673460125923157,"[0.38965973258018494, 0.0031201248057186604, 0.0, 0.0, 0.0]","[0.36595651507377625, 0.6666666865348816, 0.0, 0.0, 0.0]","[0.41664615273475647, 0.0015637216856703162, 0.0, 0.0, 0.0]","[0.3515377938747406, 0.0887586772441864, -0.0, 0.001283773803152144, 0.00029801297932863235]","[8122, 1279, 0, 46, 12]",0.363090455532074,0.19638992846012115,0.36605405807495117,0.5163115859031677,0.3601744472980499,0.20910494029521942,0.2201482355594635,0.9187616109848022,0.0,0.0,0.0,0.0,0.0,0.0,0.0007908933912403882,0.9996033310890198,"[[59127, 4738], [5863, 3384]]","[[71832, 1277], [1, 2]]","[[73112, 0], [0, 0]]","[[73066, 46], [0, 0]]","[[73100, 12], [0, 0]]",resnet_random_focal_coralcam_frames_False,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,resnet50,False,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'uniform'},fish-benchmark,ynfb7k2f,coralcam,test_frames,1000,xce6zq8n,0.2540781795978546,0.08709557354450226,0.17826086282730103,0.06490204483270645,0.4421186149120331,0.1676676720380783,0.06772663444280624,0.9328290820121765,"[0.33738574385643005, 0.09809210151433945, 0.0, 0.0, 0.0]","[0.2682802677154541, 0.056229960173368454, 0.0, 0.0, 0.0]","[0.4544447064399719, 0.3838936686515808, 0.0, 0.0, 0.0]","[0.27181220054626465, 0.06381428986787796, -0.0, 0.0020975065417587757, 0.0009091824176721275]","[8122, 1279, 0, 46, 12]",0.2622683644294739,0.21773892641067505,0.18594931066036224,0.16225510835647583,0.4448463022708893,0.41916918754577637,0.167813241481781,0.8391030430793762,0.0,0.0,0.0,0.0,0.0,0.0,0.001503344508819282,0.9929696917533875,"[[54923, 4431], [10067, 3691]]","[[63592, 788], [8241, 491]]","[[73112, 0], [0, 0]]","[[72108, 46], [958, 0]]","[[73088, 12], [12, 0]]",resnet_uniform_coralcam_frames,onehot,,
,100,coralcam,val_mAP,mean,random,False,resnet50,False,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'uniform'},fish-benchmark,a1utb1tc,coralcam,test_frames,1000,1nwmt5ve,0.20794449746608734,0.046750836074352264,0.47509434819221497,0.09501887112855911,0.1331007480621338,0.031002217903733253,0.08309139311313629,0.9737635254859924,"[0.23375417292118073, 0.0, 0.0, 0.0, 0.0]","[0.47509434819221497, 0.0, 0.0, 0.0, 0.0]","[0.15501108765602112, 0.0, 0.0, 0.0, 0.0]","[0.35431143641471863, 0.060539379715919495, -0.0, 0.0004928623093292117, 0.00011326088133500889]","[8122, 1279, 0, 46, 12]",0.20894531905651093,0.11687708646059036,0.47509434819221497,0.23754717409610748,0.13392192125320435,0.07750554382801056,0.20742541551589966,0.9348055124282837,0.0,0.0,0.0,0.0,0.0,0.0,0.0003030615916941315,0.9996033310890198,"[[63599, 6863], [1391, 1259]]","[[71833, 1279], [0, 0]]","[[73112, 0], [0, 0]]","[[73066, 46], [0, 0]]","[[73100, 12], [0, 0]]",resnet_random_uniform_coralcam_frames,onehot,,
,100,coralcam,val_mAP,mean,random,False,resnet50,False,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,19jr4myk,coralcam,test_frames,1000,n8yzoknt,0.09514819830656052,0.022975604981184006,0.44405287504196167,0.14609771966934204,0.053282588720321655,0.012937727384269238,0.07462657988071442,0.9737772345542908,"[0.10869564861059189, 0.006182380020618439, 0.0, 0.0, 0.0]","[0.4638218879699707, 0.2666666805744171, 0.0, 0.0, 0.0]","[0.06156119331717491, 0.0031274433713406324, 0.0, 0.0, 0.0]","[0.3074353337287903, 0.06321762502193451, -0.0, 0.0019069283735007048, 0.0005730180419050157]","[8122, 1279, 0, 46, 12]",0.09605488926172256,0.057439014315605164,0.4611161947250366,0.3652442693710327,0.05361131951212883,0.03234431892633438,0.185326486825943,0.9351269006729126,0.0,0.0,0.0,0.0,0.0,0.0,0.0012399732368066907,0.9993160963058472,"[[64412, 7622], [578, 500]]","[[71822, 1275], [11, 4]]","[[73112, 0], [0, 0]]","[[73024, 46], [42, 0]]","[[73100, 12], [0, 0]]",resnet_random_inverse_coralcam_frames_False,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,resnet50,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,snqpi1f7,coralcam,test_frames,1000,6trd5wdh,0.27735888957977295,0.09330838918685913,0.19252873957157135,0.06801030784845352,0.49582406878471375,0.18373408913612366,0.0747198611497879,0.9331464171409607,"[0.3630351424217224, 0.10350684076547623, 0.0, 0.0, 0.0]","[0.2807159125804901, 0.0593356229364872, 0.0, 0.0, 0.0]","[0.513666570186615, 0.4050039052963257, 0.0, 0.0, 0.0]","[0.29716309905052185, 0.07346892356872559, -0.0, 0.0020888843573629856, 0.0008784137316979468]","[8122, 1279, 0, 46, 12]",0.2843027412891388,0.23327098786830902,0.19879619777202606,0.1700257658958435,0.49888309836387634,0.45933523774147034,0.18531601130962372,0.8385148644447327,0.0,0.0,0.0,0.0,0.0,0.0,0.0014836490154266357,0.9943511486053467,"[[54300, 3950], [10690, 4172]]","[[63621, 761], [8212, 518]]","[[73112, 0], [0, 0]]","[[72308, 46], [758, 0]]","[[73090, 12], [10, 0]]",resnet_balanced_focal_coralcam_frames_False,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_temp,{'weight_method': 'uniform'},fish-benchmark,jj1rod52,coralcam,test_sliding_window,1000,13l4k3on,0.14786690473556519,0.05841583386063576,0.12100761383771896,0.04952399060130119,0.19005142152309418,0.1612946093082428,0.06242406368255615,0.9429013133049011,"[0.1973629742860794, 0.046474989503622055, 0.0, 0.048241205513477325, 0.0]","[0.19120174646377563, 0.031101739034056664, 0.0, 0.025316456332802773, 0.0]","[0.20393450558185577, 0.0919003114104271, 0.0, 0.5106382966041565, 0.0]","[0.18023499846458435, 0.030249837785959244, -0.0, 0.10131673514842987, 0.000318767037242651]","[8184, 1284, 0, 47, 14]",0.16252103447914124,0.12191898375749588,0.14269743859767914,0.11115173995494843,0.1887410283088684,0.14791740477085114,0.10524241626262665,0.8740494251251221,0.01916932873427868,0.024120602756738663,0.009823987260460854,0.012658228166401386,0.39344263076782227,0.25531914830207825,0.05081775039434433,0.9832038283348083,"[[57868, 6515], [7060, 1669]]","[[68152, 1166], [3676, 118]]","[[73112, 0], [0, 0]]","[[72141, 23], [924, 24]]","[[71603, 14], [1495, 0]]",videomae_balanced_uniform_coralcam_sliding_window_w_temp,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",fish-benchmark,d8wtqsku,coralcam,test_sliding_window,1000,sgu9kquf,0.1769392192363739,0.06560300290584564,0.0991288274526596,0.03844863176345825,0.8227515816688538,0.32567650079727173,0.06861358880996704,0.8004759550094604,"[0.27579930424690247, 0.05221571400761604, 0.0, 0.0, 0.0]","[0.16524900496006012, 0.02699415758252144, 0.0, 0.0, 0.0]","[0.8332111239433289, 0.795171320438385, 0.0, 0.0, 0.0]","[0.1915052980184555, 0.037098612636327744, -0.0, 0.11429353058338165, 0.00017051861505024135]","[8184, 1284, 0, 47, 14]",0.17706310749053955,0.1640075147151947,0.09913008660078049,0.09612157940864563,0.8280524015426636,0.8141912221908569,0.11430195719003677,0.501613974571228,0.0,0.0,0.0,0.0,0.0,0.0,0.057232026010751724,0.9995759725570679,"[[30482, 1365], [34446, 6819]]","[[35026, 263], [36802, 1021]]","[[73112, 0], [0, 0]]","[[73064, 47], [1, 0]]","[[73098, 14], [0, 0]]",videomae_balanced_focal_2_coralcam_sliding_window_w_stride,onehot,,
,100,coralcam,val_mAP,mean,random,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'uniform'},fish-benchmark,0zfto6d4,coralcam,test_frames,1000,ivzh7v5g,0.5300378799438477,0.14830757677555084,0.6022137403488159,0.22348937392234802,0.4733111262321472,0.1277228742837906,0.1531670242547989,0.9786218404769897,"[0.5673918724060059, 0.17414601147174835, 0.0, 0.0, 0.0]","[0.6056358218193054, 0.5118110179901123, 0.0, 0.0, 0.0]","[0.5336910486221313, 0.1049233227968216, 0.0, 0.0, 0.0]","[0.5854569673538208, 0.1795353889465332, -0.0, 0.0006820943672209978, 0.00016064991359598935]","[8014, 1239, 0, 46, 12]",0.5319572687149048,0.3707689344882965,0.6023783683776855,0.5587234497070312,0.4762779772281647,0.3193071782588959,0.382496178150177,0.9469649195671082,0.0,0.0,0.0,0.0,0.0,0.0,0.00042137212585657835,0.9995896816253662,"[[62313, 3737], [2785, 4277]]","[[71749, 1109], [124, 130]]","[[73112, 0], [0, 0]]","[[73064, 46], [2, 0]]","[[73100, 12], [0, 0]]",resnet_random_uniform_coralcam_frames,onehot,,
,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_temp,{'weight_method': 'inverse'},fish-benchmark,snr259gc,coralcam,test_sliding_window,1000,rbne7nwk,0.03906417638063431,0.02051927149295807,0.025276217609643936,0.010769418440759182,0.0859481617808342,0.21776032447814941,0.04970379173755646,0.8897773027420044,"[0.0, 0.06189329922199249, 0.0, 0.04070305451750755, 0.0]","[0.0, 0.0325704962015152, 0.0, 0.021276595070958138, 0.0]","[0.0, 0.6207165122032166, 0.0, 0.4680851101875305, 0.0]","[0.19561956822872162, 0.034171003848314285, -0.0, 0.018385350704193115, 0.0003430423967074603]","[8184, 1284, 0, 47, 14]",0.0469680018723011,0.030946649610996246,0.0325704962015152,0.0162852481007576,0.08417828381061554,0.3103582561016083,0.1148952841758728,0.778805136680603,0.005504816770553589,0.020351527258753777,0.002773575484752655,0.010638297535479069,0.3606557250022888,0.23404255509376526,0.009364196099340916,0.9456381797790527,"[[64928, 8184], [0, 0]]","[[48155, 487], [23673, 797]]","[[73112, 0], [0, 0]]","[[72053, 25], [1012, 22]]","[[66200, 14], [6898, 0]]",videomae_random_inverse_coralcam_sliding_window_w_temp,onehot,,
