id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,mAP,f1_per_class,precision_per_class,recall_per_class,positive_per_class,ap_per_class,confusion_matrix,habitat_f1_micro,habitat_f1_macro,habitat_precision_micro,habitat_precision_macro,habitat_recall_micro,habitat_recall_macro,habitat_acc,habitat_mAP,bites_f1_micro,bites_f1_macro,bites_precision_micro,bites_precision_macro,bites_recall_micro,bites_recall_macro,bites_acc,bites_mAP,movement_f1_micro,movement_f1_macro,movement_precision_micro,movement_precision_macro,movement_recall_micro,movement_recall_macro,movement_acc,movement_mAP,social_interaction_f1_micro,social_interaction_f1_macro,social_interaction_precision_micro,social_interaction_precision_macro,social_interaction_recall_micro,social_interaction_recall_macro,social_interaction_acc,social_interaction_mAP,not_visible_f1_micro,not_visible_f1_macro,not_visible_precision_micro,not_visible_precision_macro,not_visible_recall_micro,not_visible_recall_macro,not_visible_acc,not_visible_mAP
dinov3_base_attention_uniform_fishfollow_frames_w_temp,,40,fishfollow,val_mAP,attention,balanced,False,dinov3_base,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,{'weight_method': 'uniform'},True,fish-benchmark,bocxp4g0,fishfollow,test_frames,1000,f35txc9c,0.999999995,0.3200524151325226,1.0,0.33907029032707214,1.0,0.3774477243423462,0.873588502407074,0.29347386956214905,"[0.0, 0.45928770360161325, 0.01315586190818086, 0.004239533516610333, 0.7288344230318972, 0.0018823529518544673, 0.34094153998694887, 0.18899725349926458, 0.6921205106701332, 0.0, 0.603822824985673, 0.7931283548729405, 0.33427061470833735]","[0.0, 0.3812028169631958, 0.009835259057581425, 0.007155634928494692, 0.6773837804794312, 0.05882352963089943, 0.2812444269657135, 0.8413799405097961, 0.6330611705780029, 0.0, 0.5174769759178162, 0.7788960337638855, 0.2214539796113968]","[0.0, 0.5776028037071228, 0.019861571490764618, 0.0030120480805635452, 0.7887433767318726, 0.0009564801584929228, 0.43281006813049316, 0.106454998254776, 0.7633331418037415, 0.0, 0.7247549295425415, 0.8078904747962952, 0.6814006567001343]","[196, 119622, 16615, 996, 331876, 2091, 71283, 138265, 255866, 4164, 91206, 286295, 26673]","[tensor(0.0006), tensor(0.3388), tensor(0.0324), tensor(0.0024), tensor(0.6897), tensor(0.0082), tensor(0.2158), tensor(0.3783), tensor(0.6433), tensor(0.0067), tensor(0.4893), tensor(0.7815), tensor(0.2281)]","[[[534386, 196], [132, 0]], [[352687, 82012], [62405, 37610]], [[514071, 16576], [4028, 39]], [[533160, 995], [558, 1]], [[110685, 143761], [92153, 188115]], [[532589, 2091], [34, 0]], [[422686, 55810], [40745, 15473]], [[394719, 129183], [1730, 9082]], [[198607, 121063], [80241, 134803]], [[529703, 4164], [847, 0]], [[397439, 43008], [46069, 48198]], [[197660, 112101], [50759, 174194]], [[460850, 13409], [47191, 13264]]]",0.999999995,0.5770739316940308,1.0,0.5059423446655273,1.0,0.738015353679657,0.85606449842453,0.4996340274810791,0.999999995,0.002040628809481859,1.0,0.021993055939674377,1.0,0.0013228427851572633,0.9975083470344543,0.0037506495136767626,0.999999995,0.4442368447780609,1.0,0.3945784270763397,1.0,0.5124978423118591,0.8136353492736816,0.3788642883300781,0.999999995,0.013155861757695675,1.0,0.009835259057581425,1.0,0.019861571490764618,0.9620133638381958,0.03242139518260956,0.999999995,0.18899725377559662,1.0,0.8413799405097961,1.0,0.106454998254776,0.7657420635223389,0.37826359272003174
dinov3_base_attention_focal_loss_fishfollow_frames_w_temp,,40,fishfollow,val_mAP,attention,balanced,False,dinov3_base,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",True,fish-benchmark,4pducprj,fishfollow,test_frames,1000,a6axs1ul,0.999999995,0.3775755763053894,1.0,0.2971358001232147,1.0,0.5634822249412537,0.8425146341323853,0.30494529008865356,"[0.0014074595309251322, 0.5038941167063924, 0.05510118479141143, 0.10645680636175768, 0.7893708391163686, 0.21653141374347876, 0.3264160910401303, 0.4571777382217781, 0.6946449540394857, 0.010400573090908544, 0.594939586908366, 0.8146429191130571, 0.33749924918134183]","[0.0008163265301845968, 0.36621496081352234, 0.04579496756196022, 0.06391815841197968, 0.6676543354988098, 0.1519068479537964, 0.21060697734355927, 0.38227686285972595, 0.5767982006072998, 0.005893909838050604, 0.4581664204597473, 0.7175179123878479, 0.21519988775253296]","[0.005102040711790323, 0.8074601888656616, 0.06915438175201416, 0.3182730972766876, 0.9653605818748474, 0.37685316801071167, 0.72517991065979, 0.5685820579528809, 0.8730116486549377, 0.044188279658555984, 0.8481240272521973, 0.9421785473823547, 0.7818018198013306]","[196, 119622, 16615, 996, 331876, 2091, 71283, 138265, 255866, 4164, 91206, 286295, 26673]","[tensor(0.0005), tensor(0.3740), tensor(0.0333), tensor(0.0035), tensor(0.6953), tensor(0.0082), tensor(0.2145), tensor(0.4187), tensor(0.6338), tensor(0.0102), tensor(0.5152), tensor(0.7965), tensor(0.2606)]","[[[533293, 196], [1225, 0]], [[290872, 49833], [124220, 69789]], [[510318, 16251], [7781, 364]], [[501112, 857], [32606, 139]], [[60166, 54031], [142672, 277845]], [[492495, 1681], [40128, 410]], [[340177, 39243], [123254, 32040]], [[320580, 92756], [75869, 45509]], [[143954, 76664], [134894, 179202]], [[527514, 4146], [3036, 18]], [[374153, 33749], [69355, 57457]], [[154730, 53981], [93689, 232314]], [[448314, 10531], [59727, 16142]]]",0.999999995,0.582360565662384,1.0,0.46362805366516113,1.0,0.8573681712150574,0.840058445930481,0.5241137146949768,0.999999995,0.10813189297914505,1.0,0.07221377640962601,1.0,0.23340944945812225,0.9573398232460022,0.004033075645565987,0.999999995,0.46494531631469727,1.0,0.3654336631298065,1.0,0.6830400824546814,0.7711460590362549,0.38556191325187683,0.999999995,0.0551011860370636,1.0,0.04579496756196022,1.0,0.06915438175201416,0.9565412402153015,0.03334846347570419,0.999999995,0.4571777284145355,1.0,0.38227686285972595,1.0,0.5685820579528809,0.7482242584228516,0.4186902642250061
dinov3_base_mean_uniform_fishfollow_frames_w_temp,,40,fishfollow,val_mAP,mean,balanced,False,dinov3_base,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,{'weight_method': 'uniform'},False,fish-benchmark,6tuamjty,fishfollow,test_frames,1000,t9vv2chv,0.999999995,0.31745389103889465,1.0,0.40106910467147827,1.0,0.3650057017803192,0.8696552515029907,0.2975941002368927,"[0.0019417476011195228, 0.47282102745857385, 0.021258190948635784, 0.0, 0.7456962134503934, 0.0009560229500015526, 0.31743909731661596, 0.1931524945602238, 0.6702016761903712, 0.0, 0.6070202097510619, 0.7847518793752367, 0.3116625089407399]","[0.0011990407947450876, 0.4029107093811035, 0.0289608184248209, 0.0, 0.6588799357414246, 1.0, 0.3086656630039215, 0.6887074112892151, 0.6318650841712952, 0.0, 0.49423763155937195, 0.7835454344749451, 0.21492616832256317]","[0.005102040711790323, 0.5720853805541992, 0.01679205521941185, 0.0, 0.8588629364967346, 0.0004782400792464614, 0.32672587037086487, 0.11232777684926987, 0.7134906649589539, 0.0, 0.7864943146705627, 0.7859620451927185, 0.5667529106140137]","[196, 119622, 16615, 996, 331876, 2091, 71283, 138265, 255866, 4164, 91206, 286295, 26673]","[tensor(0.0007), tensor(0.3816), tensor(0.0500), tensor(0.0027), tensor(0.6898), tensor(0.0094), tensor(0.2178), tensor(0.3622), tensor(0.6530), tensor(0.0219), tensor(0.5134), tensor(0.7846), tensor(0.1815)]","[[[533684, 196], [834, 0]], [[351083, 77677], [64009, 41945]], [[516959, 16581], [1140, 34]], [[532872, 996], [846, 0]], [[81958, 106098], [120880, 225778]], [[532622, 2091], [1, 0]], [[437257, 59918], [26174, 11365]], [[391706, 127945], [4743, 10320]], [[197223, 119905], [81625, 135961]], [[529878, 4164], [672, 0]], [[380124, 30943], [63384, 60263]], [[198729, 112035], [49690, 174260]], [[466769, 15527], [41272, 11146]]]",0.999999995,0.5678114891052246,1.0,0.4975697100162506,1.0,0.71306973695755,0.8476007580757141,0.49318334460258484,0.999999995,0.0009659235365688801,1.0,0.3337329924106598,1.0,0.001860093674622476,0.9969080090522766,0.004292553756386042,0.999999995,0.4412315785884857,1.0,0.4004642963409424,1.0,0.4942329525947571,0.8085952401161194,0.3928123116493225,0.999999995,0.021258190274238586,1.0,0.0289608184248209,1.0,0.01679205521941185,0.9673171043395996,0.05003678798675537,0.999999995,0.19315248727798462,1.0,0.6887074112892151,1.0,0.11232777684926987,0.7616987824440002,0.36219727993011475
dinov3_base_mean_focal_loss_fishfollow_frames_w_temp,,40,fishfollow,val_mAP,mean,balanced,False,dinov3_base,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",False,fish-benchmark,ecvbplze,fishfollow,test_frames,1000,yhh8uliw,0.999999995,0.36759164929389954,1.0,0.29481837153434753,1.0,0.5253252387046814,0.8390117287635803,0.29669204354286194,"[0.0087161796271901, 0.49662189738238793, 0.13541169955558513, 0.040553931074788455, 0.7784430594524955, 0.22303859083586253, 0.34405059585984077, 0.3693578623394967, 0.7010706988384245, 0.0, 0.5838016738392532, 0.8105514266398951, 0.2870736328060254]","[0.006092917174100876, 0.35221216082572937, 0.09963975846767426, 0.0256088487803936, 0.6525682210922241, 0.1748201698064804, 0.2281659096479416, 0.3394477665424347, 0.592298150062561, 0.0, 0.44335615634918213, 0.735869288444519, 0.1825598031282425]","[0.015306122601032257, 0.8417431712150574, 0.21125489473342896, 0.09738955646753311, 0.9644837379455566, 0.30798661708831787, 0.6991428732872009, 0.40504828095436096, 0.8587815761566162, 0.0, 0.8544832468032837, 0.9021044969558716, 0.6715030074119568]","[196, 119622, 16615, 996, 331876, 2091, 71283, 138265, 255866, 4164, 91206, 286295, 26673]","[tensor(0.0007), tensor(0.3834), tensor(0.0510), tensor(0.0027), tensor(0.7013), tensor(0.0087), tensor(0.2217), tensor(0.3577), tensor(0.6366), tensor(0.0154), tensor(0.5092), tensor(0.7922), tensor(0.1765)]","[[[531892, 196], [2626, 0]], [[271316, 43928], [143776, 75694]], [[507096, 15404], [11003, 1211]], [[512240, 958], [21478, 38]], [[45367, 46273], [157471, 285603]], [[506372, 1789], [26251, 302]], [[359707, 41420], [103724, 29863]], [[331206, 105870], [65243, 32395]], [[149680, 73603], [129168, 182263]], [[527832, 4164], [2718, 0]], [[360315, 26563], [83193, 64643]], [[166669, 65017], [81750, 221278]], [[441410, 12032], [66631, 14641]]]",0.999999995,0.5604755878448486,1.0,0.4539284408092499,1.0,0.809363603591919,0.8261830806732178,0.49263104796409607,0.999999995,0.09076956659555435,1.0,0.0688406452536583,1.0,0.14022743701934814,0.9700618982315063,0.004030339885503054,0.999999995,0.4640372693538666,1.0,0.365048885345459,1.0,0.6728302836418152,0.7675897479057312,0.39167237281799316,0.999999995,0.13541169464588165,1.0,0.09963975846767426,1.0,0.21125489473342896,0.9549254179000854,0.0509779267013073,0.999999995,0.3693578541278839,1.0,0.3394477665424347,1.0,0.40504828095436096,0.7255430221557617,0.3576725721359253
videomae_large_attention_uniform_fishfollow_sliding_window_w_temp,,40,fishfollow,val_mAP,attention,balanced,False,videomae_large,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,{'weight_method': 'uniform'},True,fish-benchmark,yof2n5i9,fishfollow,test_sliding_window,1000,dpi3z6le,0.999999995,0.36928075551986694,1.0,0.33989590406417847,1.0,0.4424339830875397,0.8788269758224487,0.3068010210990906,"[0.1270230083105566, 0.5739900979586494, 0.024062631769513856, 0.05070132474891345, 0.7866715593202033, 0.21542770573219305, 0.19389073014060107, 0.33408570338197163, 0.7672591266090691, 0.004800768116546803, 0.6203244196295334, 0.8014769698560146, 0.30093519036423605]","[0.13195201754570007, 0.4866584241390228, 0.018785221502184868, 0.0370415635406971, 0.6675423979759216, 0.17533470690250397, 0.1850910633802414, 0.5359583497047424, 0.7037150859832764, 0.007194244768470526, 0.5232577919960022, 0.7517213225364685, 0.19439460337162018]","[0.12244898080825806, 0.6995201706886292, 0.0334637388586998, 0.0803212821483612, 0.957556426525116, 0.27929219603538513, 0.20356887578964233, 0.2426789104938507, 0.8434180617332458, 0.0036023054271936417, 0.7616056203842163, 0.8582860231399536, 0.6658793687820435]","[196, 119622, 16615, 996, 331876, 2091, 71283, 138265, 255866, 4164, 91206, 286295, 26673]","[tensor(0.0030), tensor(0.4561), tensor(0.0429), tensor(0.0029), tensor(0.6874), tensor(0.0090), tensor(0.1573), tensor(0.3855), tensor(0.7392), tensor(0.0283), tensor(0.4957), tensor(0.7813), tensor(0.1998)]","[[[533608, 189], [910, 7]], [[354885, 64138], [60207, 55484]], [[514965, 16555], [3134, 60]], [[525558, 976], [8160, 20]], [[63734, 61048], [139104, 270828]], [[513430, 1864], [19193, 227]], [[446032, 67433], [17399, 3850]], [[378522, 118148], [17927, 20117]], [[205914, 87458], [72934, 168408]], [[530412, 4163], [138, 1]], [[397747, 42031], [45761, 49175]], [[182521, 91345], [65898, 194950]], [[451308, 13188], [56733, 13485]]]",0.999999995,0.5742455124855042,1.0,0.48979124426841736,1.0,0.761923611164093,0.8517475128173828,0.49225446581840515,0.999999995,0.1310506910085678,1.0,0.11477609723806381,1.0,0.16068749129772186,0.9829921722412109,0.0049676415510475636,0.999999995,0.46532249450683594,1.0,0.4100402295589447,1.0,0.5415331721305847,0.8370534777641296,0.4136732518672943,0.999999995,0.024062631651759148,1.0,0.018785221502184868,1.0,0.0334637388586998,0.964106023311615,0.04292752221226692,0.999999995,0.33408570289611816,1.0,0.5359583497047424,1.0,0.2426789104938507,0.7711580395698547,0.38545310497283936
videomae_large_attention_focal_loss_fishfollow_sliding_window_w_temp,,40,fishfollow,val_mAP,attention,balanced,False,videomae_large,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",True,fish-benchmark,xu9pb1c4,fishfollow,test_sliding_window,1000,uy4v9e5b,0.999999995,0.38681560754776,1.0,0.3053393065929413,1.0,0.6030628681182861,0.8287776112556458,0.3076329827308655,"[0.0841923166903324, 0.549793093291085, 0.12128725453414603, 0.09181752362363411, 0.7806763845117511, 0.27092998880242675, 0.26633527339940216, 0.41098888483733376, 0.739242317020153, 0.025073335158718162, 0.582604493945831, 0.8093054382756433, 0.29635696708802894]","[0.05672105774283409, 0.39990267157554626, 0.0743798166513443, 0.051315199583768845, 0.6452862620353699, 0.18915067613124847, 0.16886331140995026, 0.4008695185184479, 0.6094285249710083, 0.03249097615480423, 0.4483611285686493, 0.7099184989929199, 0.1827230155467987]","[0.16326530277729034, 0.8794118165969849, 0.32837796211242676, 0.43574297428131104, 0.9879654049873352, 0.4772835969924927, 0.6299678683280945, 0.4216323792934418, 0.939327597618103, 0.02041306346654892, 0.8315900564193726, 0.9410502910614014, 0.7837888598442078]","[196, 119622, 16615, 996, 331876, 2091, 71283, 138265, 255866, 4164, 91206, 286295, 26673]","[tensor(0.0031), tensor(0.4567), tensor(0.0612), tensor(0.0030), tensor(0.6852), tensor(0.0107), tensor(0.1593), tensor(0.3890), tensor(0.6903), tensor(0.0206), tensor(0.5046), tensor(0.7509), tensor(0.2648)]","[[[531952, 188], [2566, 8]], [[285424, 35598], [129668, 84024]], [[496099, 14872], [22000, 1743]], [[473605, 776], [60113, 220]], [[26612, 21363], [176226, 310513]], [[480658, 1426], [51965, 665]], [[337364, 46210], [126067, 25073]], [[343183, 103667], [53266, 34598]], [[141201, 46885], [137647, 208981]], [[530282, 4155], [268, 9]], [[367445, 30589], [76063, 60617]], [[144852, 39033], [103567, 247262]], [[429217, 9346], [78824, 17327]]]",0.999999995,0.5627555847167969,1.0,0.4470008909702301,1.0,0.8521430492401123,0.8168784379959106,0.5067387223243713,0.999999995,0.14897994697093964,1.0,0.09906231611967087,1.0,0.3587639331817627,0.9350687265396118,0.0055986265651881695,0.999999995,0.47222405672073364,1.0,0.37119433283805847,1.0,0.6914170980453491,0.765647828578949,0.40240663290023804,0.999999995,0.1212872564792633,1.0,0.0743798166513443,1.0,0.32837796211242676,0.9380304217338562,0.06115864962339401,0.999999995,0.4109888970851898,1.0,0.4008695185184479,1.0,0.4216323792934418,0.751998245716095,0.3890250623226166
videomae_large_mean_uniform_fishfollow_sliding_window_w_temp,,40,fishfollow,val_mAP,mean,balanced,False,videomae_large,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,{'weight_method': 'uniform'},False,fish-benchmark,hvvm9us0,fishfollow,test_sliding_window,1000,w99ri1i1,0.999999995,0.290880411863327,1.0,0.3409182131290436,1.0,0.32995253801345825,0.8532362580299377,0.30717018246650696,"[0.0, 0.4861161531760528, 0.0, 0.002197802216882164, 0.7819071957663808, 0.020780074554815522, 0.044772224828277696, 0.13413841840896298, 0.7113348799937108, 0.011635960348228211, 0.5633558374357573, 0.6858339343094786, 0.33937304718664174]","[0.0, 0.4149623215198517, 0.0, 0.0066225165501236916, 0.6839759349822998, 0.3229927122592926, 0.1043277382850647, 0.622797429561615, 0.7172695994377136, 0.095238097012043, 0.4540768563747406, 0.7738391160964966, 0.23583456873893738]","[0.0, 0.586721658706665, 0.0, 0.0013175230706110597, 0.9125681519508362, 0.010735373012721539, 0.028501905500888824, 0.0751635953783989, 0.7054975628852844, 0.006196517962962389, 0.7419037818908691, 0.6158016324043274, 0.6049755215644836]","[137, 89695, 9722, 759, 257595, 1863, 53014, 98106, 201017, 3389, 66080, 220053, 25525]","[tensor(0.0016), tensor(0.3851), tensor(0.0599), tensor(0.0031), tensor(0.6868), tensor(0.0119), tensor(0.1182), tensor(0.3457), tensor(0.7512), tensor(0.1276), tensor(0.4749), tensor(0.7575), tensor(0.2696)]","[[[402149, 137], [0, 0]], [[246279, 44380], [66312, 45315]], [[392564, 9722], [0, 0]], [[401376, 759], [151, 0]], [[36574, 32981], [108117, 224614]], [[399884, 1854], [539, 9]], [[339173, 51860], [10099, 1154]], [[300365, 91876], [3815, 6230]], [[148033, 70838], [53236, 130179]], [[398878, 3387], [19, 2]], [[279025, 19468], [57181, 46612]], [[144946, 96512], [37287, 123541]], [[327316, 10535], [49445, 14990]]]",0.999999995,0.5295209884643555,1.0,0.48791685700416565,1.0,0.6542269587516785,0.7895717620849609,0.5006778836250305,0.999999995,0.007659292314201593,1.0,0.1098717451095581,1.0,0.0040176319889724255,0.9972996115684509,0.005544640123844147,0.999999995,0.40715327858924866,1.0,0.40315476059913635,1.0,0.44789713621139526,0.7981167435646057,0.41377753019332886,0.0,0.0,0.0,0.0,0.0,0.0,0.9758331179618835,0.05994827672839165,0.999999995,0.13413842022418976,1.0,0.622797429561615,1.0,0.0751635953783989,0.7650402784347534,0.34570902585983276
videomae_large_mean_focal_loss_fishfollow_sliding_window_w_temp,,40,fishfollow,val_mAP,mean,balanced,False,videomae_large,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.75, 'focal_loss_gamma': 5}",False,fish-benchmark,wlkqxk5c,fishfollow,test_sliding_window,1000,idttfblc,0.999999995,0.35478973388671875,1.0,0.3217974007129669,1.0,0.4723069369792938,0.8164055943489075,0.3175252377986908,"[0.009560229303758931, 0.5041561587112051, 0.0380941945911705, 0.05329140668039239, 0.7957743536346296, 0.2702813091422908, 0.14395705655216207, 0.2846858982554545, 0.760890586598947, 0.12882593236872464, 0.5133212857384116, 0.7921433524715177, 0.3172846413959219]","[0.013850415125489235, 0.3706356883049011, 0.053348999470472336, 0.03233158960938454, 0.6709630489349365, 0.19210998713970184, 0.10005632787942886, 0.4281769394874573, 0.6534831523895264, 0.33636364340782166, 0.3795508146286011, 0.7399090528488159, 0.21258607506752014]","[0.007299270015209913, 0.7880483865737915, 0.02962353453040123, 0.1515151560306549, 0.9776315689086914, 0.4557165801525116, 0.2564982771873474, 0.21322855353355408, 0.9105498790740967, 0.0796695202589035, 0.7927058339118958, 0.8523128628730774, 0.6251909732818604]","[137, 89695, 9722, 759, 257595, 1863, 53014, 98106, 201017, 3389, 66080, 220053, 25525]","[tensor(0.0010), tensor(0.4332), tensor(0.0483), tensor(0.0028), tensor(0.7220), tensor(0.0123), tensor(0.1153), tensor(0.3647), tensor(0.7517), tensor(0.1300), tensor(0.4896), tensor(0.7856), tensor(0.2712)]","[[[401067, 136], [1082, 1]], [[197836, 24783], [114755, 64912]], [[388530, 9501], [4034, 221]], [[366063, 685], [35464, 74]], [[17652, 9123], [127039, 248472]], [[343199, 1115], [57224, 748]], [[261056, 43585], [88216, 9429]], [[280285, 80719], [23895, 17387]], [[105066, 26073], [96203, 174944]], [[398678, 3278], [219, 111]], [[252567, 15924], [83639, 50156]], [[117778, 43054], [64455, 176999]], [[320305, 10537], [56456, 14988]]]",0.999999995,0.5409164428710938,1.0,0.4440152943134308,1.0,0.7567365765571594,0.7863601446151733,0.5154800415039062,0.999999995,0.11104431748390198,1.0,0.07943066209554672,1.0,0.2048436850309372,0.930326521396637,0.005399174522608519,0.999999995,0.4667208194732666,1.0,0.4263003468513489,1.0,0.6024795770645142,0.7494454383850098,0.43045100569725037,0.999999995,0.03809419274330139,1.0,0.053348999470472336,1.0,0.02962353453040123,0.9665362238883972,0.04827161505818367,0.999999995,0.2846859097480774,1.0,0.4281769394874573,1.0,0.21322855353355408,0.7494493722915649,0.364663690328598
