id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,f1_per_class,precision_per_class,recall_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_acc,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_acc,mouth not visible,feeding,charging,being charged,cturn
dinov3_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,iuea0srn,coralcam,test_frames,1000,3hna80rk,0.999999995,0.17650710247358953,1.0,0.11788950115442276,1.0,0.3510657846927643,0.9593226909637451,"[0.5364118602554836, 0.3408725274389303, 0.0, 0.0, 0.0]","[0.3728475570678711, 0.21659992635250092, 0.0, 0.0, 0.0]","[0.9556419253349304, 0.7996870279312134, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.4412677557708912,1.0,0.2947237491607666,1.0,0.8776644468307495,0.9004472494125366,0.0,0.0,0.0,0.0,0.0,0.0,0.9978594779968262,"[[52799, 1265], [12851, 6197]]","[[70139, 226], [2334, 413]]","[[73112, 0], [0, 0]]","[[72825, 42], [245, 0]]","[[73086, 8], [18, 0]]"
dinov3_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,64q4nfny,coralcam,test_frames,1000,dhnnuvwd,0.999999995,0.1777139282712194,1.0,0.11662757396697998,1.0,0.37317052483558655,0.9493188261985779,"[0.48272356304607106, 0.3960182129526497, 0.0, 0.0062893080429696855, 0.0]","[0.3221771717071533, 0.25759369134902954, 0.0, 0.003367003286257386, 0.0]","[0.9622085094451904, 0.8560250401496887, 0.0, 0.0476190485060215, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.43959836419734866,1.0,0.28988543152809143,1.0,0.9091167449951172,0.875984787940979,0.999999995,0.003144652787950306,1.0,0.001683501643128693,1.0,0.02380952425301075,0.9973123669624329,"[[48749, 938], [16901, 6524]]","[[70407, 170], [2066, 469]]","[[73112, 0], [0, 0]]","[[72773, 42], [297, 0]]","[[73055, 8], [49, 0]]"
dinov3_large_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',False,fish-benchmark,ygxhfmcc,coralcam,test_frames,1000,ol9ptdc7,0.999999995,0.11742277991389563,1.0,0.07577519118785858,1.0,0.2607195973396301,0.9280884265899658,"[0.38854508934100834, 0.16622030040989244, 0.0, 0.0009119927200991762, 0.0]","[0.28279802203178406, 0.09561753273010254, 0.0, 0.0004604051646310836, 0.0]","[0.6206110715866089, 0.635367751121521, 0.0, 0.0476190485060215, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.29080001968924846,1.0,0.1892077773809433,1.0,0.6279894113540649,0.8372360467910767,0.999999995,0.00045599617036516546,1.0,0.0002302025823155418,1.0,0.02380952425301075,0.9829850196838379,"[[54735, 4024], [10915, 3438]]","[[61258, 308], [11215, 331]]","[[73112, 0], [0, 0]]","[[70898, 42], [2172, 0]]","[[72835, 8], [269, 0]]"
dinov3_large_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,4e80i5tj,coralcam,test_frames,1000,lbhv0cfa,0.999999995,0.11349448280113308,1.0,0.06668069213628769,1.0,0.3809296488761902,0.8703468441963196,"[0.4053985411500485, 0.13626277461939493, 0.0, 0.001413427570171205, 0.0]","[0.2591465711593628, 0.07353951781988144, 0.0, 0.0007173601188696921, 0.0]","[0.9305816292762756, 0.9264475703239441, 0.0, 0.0476190485060215, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.2821406923760688,1.0,0.16634304821491241,1.0,0.9285145998001099,0.6870076060295105,0.999999995,0.0007067134926710385,1.0,0.00035868005943484604,1.0,0.02380952425301075,0.9888595342636108,"[[43446, 1404], [22204, 6058]]","[[46815, 107], [25658, 532]]","[[73112, 0], [0, 0]]","[[71676, 42], [1394, 0]]","[[72916, 8], [188, 0]]"
vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',True,fish-benchmark,lirub1ix,coralcam,test_sliding_window,1000,cnhnty35,0.999999995,0.11779699565900552,1.0,0.0692054033279419,1.0,0.3954722285270691,0.9065789580345154,"[0.4040681409919129, 0.12842872955680273, 0.0, 0.03508772051937032, 0.0]","[0.2570682168006897, 0.069350965321064, 0.0, 0.019607843831181526, 0.0]","[0.9437147974967957, 0.8669796586036682, 0.0, 0.1666666716337204, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.2765624512896524,1.0,0.16320958733558655,1.0,0.9053472280502319,0.7672133445739746,0.999999995,0.017543858376028846,1.0,0.009803921915590763,1.0,0.0833333358168602,0.9992340803146362,"[[47080, 2299], [18570, 5163]]","[[55707, 318], [16766, 321]]","[[73112, 0], [0, 0]]","[[73020, 41], [50, 1]]","[[73085, 8], [19, 0]]"
vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,ihrk16xa,coralcam,test_sliding_window,1000,nnjabhb4,0.999999995,0.06755023677048899,1.0,0.03900638222694397,1.0,0.2518407702445984,0.7463924884796143,"[0.19898734958871464, 0.013336752919714066, 0.0, 0.001971652406672993, 0.0]","[0.16502726078033447, 0.02901785634458065, 0.0, 0.0009867990156635642, 0.0]","[0.250545859336853, 0.008658008649945259, 0.0, 1.0, 0.0]","[25648, 2310, 0, 77, 0]",0.999999995,0.11097044805467135,1.0,0.09702255576848984,1.0,0.12960194051265717,0.9269002676010132,0.999999995,0.0009858261836394096,1.0,0.0004933995078317821,1.0,0.5,0.43908101320266724,"[[219469, 23086], [17059, 2562]]","[[259425, 2303], [441, 7]]","[[262176, 0], [0, 0]]","[[162865, 0], [99234, 77]]","[[67270, 0], [194906, 0]]"
vjepa2_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',False,fish-benchmark,lbp90388,coralcam,test_sliding_window,1000,u0r08iio,0.999999995,0.20296176177600844,1.0,0.1271757185459137,1.0,0.5022761821746826,0.9212468266487122,"[0.51418050655075, 0.1742279551459829, 0.0, 0.1525658850328717, 0.11881188578219308]","[0.3784019351005554, 0.09760265052318573, 0.0, 0.0892857164144516, 0.07058823853731155]","[0.801929771900177, 0.8106416463851929, 0.0, 0.523809552192688, 0.375]","[7462, 639, 0, 42, 8]",0.999999995,0.3675190206061613,1.0,0.23800230026245117,1.0,0.8062857389450073,0.8052234649658203,0.999999995,0.13573106585537667,1.0,0.07993698120117188,1.0,0.449404776096344,0.9978936314582825,"[[54684, 2371], [10966, 5091]]","[[54183, 200], [18290, 439]]","[[73112, 0], [0, 0]]","[[72862, 26], [208, 16]]","[[73020, 7], [84, 1]]"
vjepa2_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,n9b89dj2,coralcam,test_sliding_window,1000,tpgcsxkm,0.999999995,0.17086404129467112,1.0,0.10406862199306488,1.0,0.47706088423728943,0.8771802186965942,"[0.45099101142807485, 0.15165936346728187, 0.0, 0.22186836347479907, 0.0]","[0.2970002591609955, 0.08260209858417511, 0.0, 0.14074073731899261, 0.0]","[0.9366121888160706, 0.9248826503753662, 0.0, 0.523809552192688, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.3153044159597029,1.0,0.1898011863231659,1.0,0.930747389793396,0.6944413781166077,0.999999995,0.11093417839877551,1.0,0.07037036865949631,1.0,0.261904776096344,0.9985091090202332,"[[44674, 869], [20976, 6593]]","[[46004, 99], [26469, 540]]","[[73112, 0], [0, 0]]","[[72949, 28], [121, 14]]","[[73030, 8], [74, 0]]"
resnet50_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,y2mhwwa2,coralcam,test_frames,1000,0hah3haa,0.999999995,0.14902886453165562,1.0,0.1026020273566246,1.0,0.27219605445861816,0.9619460701942444,"[0.4963002845325764, 0.24821526935762817, 0.0, 0.0, 0.0]","[0.33755889534950256, 0.17545126378536224, 0.0, 0.0, 0.0]","[0.9368801712989807, 0.4241001605987549, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.3725721712232019,1.0,0.2565050721168518,1.0,0.6804901361465454,0.9056857824325562,0.0,0.0,0.0,0.0,0.0,0.0,0.9991793632507324,"[[53077, 2207], [12573, 5255]]","[[71229, 498], [1244, 141]]","[[73112, 0], [0, 0]]","[[73008, 42], [62, 0]]","[[73096, 8], [8, 0]]"
resnet50_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,994lum4t,coralcam,test_frames,1000,wd30fvef,0.999999995,0.14412882512236094,1.0,0.09734542667865753,1.0,0.27748656272888184,0.9527984261512756,"[0.45531183409172254, 0.26184266434810927, 0.0, 0.0, 0.0]","[0.29886162281036377, 0.1878654956817627, 0.0, 0.0, 0.0]","[0.9555079340934753, 0.43192487955093384, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]",0.999999995,0.3603220604072378,1.0,0.24336355924606323,1.0,0.6937164068222046,0.8827689290046692,0.0,0.0,0.0,0.0,0.0,0.0,0.9992272257804871,"[[49463, 1776], [16187, 5686]]","[[71263, 481], [1210, 158]]","[[73112, 0], [0, 0]]","[[73010, 42], [60, 0]]","[[73101, 8], [3, 0]]"
