id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,freeze_backbone,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,mAP,f1_per_class,precision_per_class,recall_per_class,positive_per_class,mAP_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_acc,biting_mAP,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_acc,aggression_mAP,mouth not visible,feeding,charging,being charged,cturn
dinov3_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,iuea0srn,coralcam,test_frames,1000,3hna80rk,0.999999995,0.15879586338996887,1.0,0.10508109629154205,1.0,0.337785542011261,0.9565488696098328,0.18918900191783905,"[0.4980261142930726, 0.29595317847994124, 0.0, 0.0, 0.0]","[0.3426606357097626, 0.1827448159456253, 0.0, 0.0, 0.0]","[0.911149799823761, 0.7777777910232544, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.5044974088668823, 0.4403989017009735, -0.0, 0.0008194337133318186, 0.00022921350318938494]",0.999999995,0.396989643573761,1.0,0.26270273327827454,1.0,0.8444638252258301,0.8935126662254333,0.4724481701850891,0.0,0.0,0.0,0.0,0.0,0.0,0.9978594779968262,0.0005243236082606018,"[[52799, 1265], [12851, 6197]]","[[70139, 226], [2334, 413]]","[[73112, 0], [0, 0]]","[[72825, 42], [245, 0]]","[[73086, 8], [18, 0]]"
dinov3_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,dinov3_large,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,64q4nfny,coralcam,test_frames,1000,dhnnuvwd,0.999999995,0.15976497530937195,1.0,0.10336371511220932,1.0,0.35365450382232666,0.9466654062271118,0.19292113184928894,"[0.44790415320489435, 0.35092069327950076, 0.0, 0.0, 0.0]","[0.2947278618812561, 0.2220907360315323, 0.0, 0.0, 0.0]","[0.9325917959213257, 0.8356807231903076, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.4824105501174927, 0.4808580279350281, -0.0, 0.0012367673916742206, 0.00010032069985754788]",0.999999995,0.3994124233722687,1.0,0.2584092915058136,1.0,0.8841362595558167,0.8693716526031494,0.4816342890262604,0.0,0.0,0.0,0.0,0.0,0.0,0.9972918033599854,0.000668544031213969,"[[48749, 938], [16901, 6524]]","[[70407, 170], [2066, 469]]","[[73112, 0], [0, 0]]","[[72773, 42], [297, 0]]","[[73055, 8], [49, 0]]"
dinov3_large_mean_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',False,fish-benchmark,ygxhfmcc,coralcam,test_frames,1000,ol9ptdc7,0.999999995,0.08987100422382355,1.0,0.06225255876779556,1.0,0.23234541714191437,0.924157440662384,0.06510646641254425,"[0.34926539592082384, 0.09918629154283658, 0.0, 0.0009033423826545523, 0.0]","[0.25667107105255127, 0.05413129925727844, 0.0, 0.0004604051646310836, 0.0]","[0.5463682413101196, 0.591549277305603, 0.0, 0.02380952425301075, 0.0]","[7462, 639, 0, 42, 8]","[0.25348135828971863, 0.07042446732521057, -0.0, 0.0013617376098409295, 0.0002647751825861633]",0.999999995,0.22422584891319275,1.0,0.15540118515491486,1.0,0.5689587593078613,0.8274154663085938,0.1619529128074646,0.999999995,0.0004516711924225092,1.0,0.0002302025823155418,1.0,0.011904762126505375,0.9829781651496887,0.0008132563671097159,"[[54735, 4024], [10915, 3438]]","[[61258, 308], [11215, 331]]","[[73112, 0], [0, 0]]","[[70898, 42], [2172, 0]]","[[72835, 8], [269, 0]]"
dinov3_large_mean_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,mean,balanced,False,dinov3_large,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,4e80i5tj,coralcam,test_frames,1000,lbhv0cfa,0.999999995,0.089331716299057,1.0,0.05475383996963501,1.0,0.3589267134666443,0.8648648858070374,0.09067394584417343,"[0.36861292268116624, 0.07665292270582594, 0.0, 0.0013927576686382941, 0.0]","[0.23299837112426758, 0.04005345702171326, 0.0, 0.0007173601188696921, 0.0]","[0.8819351196289062, 0.8888888955116272, 0.0, 0.02380952425301075, 0.0]","[7462, 639, 0, 42, 8]","[0.320220947265625, 0.13150285184383392, -0.0, 0.0014483412960544229, 0.0001976199564523995]",0.999999995,0.22263291478157043,1.0,0.13652591407299042,1.0,0.8854119777679443,0.6733094453811646,0.22586190700531006,0.999999995,0.0006963788182474673,1.0,0.00035868005943484604,1.0,0.011904762126505375,0.9888527393341064,0.0008229806553572416,"[[43446, 1404], [22204, 6058]]","[[46815, 107], [25658, 532]]","[[73112, 0], [0, 0]]","[[71676, 42], [1394, 0]]","[[72916, 8], [188, 0]]"
vjepa2_attention_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',True,fish-benchmark,lirub1ix,coralcam,test_sliding_window,1000,cnhnty35,0.999999995,0.09323233366012573,1.0,0.057518620043992996,1.0,0.3344886302947998,0.9016604423522949,0.060267068445682526,"[0.36573139664103704, 0.06966106030358855, 0.0, 0.030769231919882564, 0.0]","[0.2314077466726303, 0.03657751530408859, 0.0, 0.019607843831181526, 0.0]","[0.8717501759529114, 0.729264497756958, 0.0, 0.0714285746216774, 0.0]","[7462, 639, 0, 42, 8]","[0.2721785604953766, 0.021780436858534813, -0.0, 0.007066818419843912, 0.00030952159431762993]",0.999999995,0.21769621968269348,1.0,0.13399262726306915,1.0,0.8005073070526123,0.7549444437026978,0.14697949588298798,0.999999995,0.015384616330265999,1.0,0.009803921915590763,1.0,0.0357142873108387,0.9992067217826843,0.0036881701089441776,"[[47080, 2299], [18570, 5163]]","[[55707, 318], [16766, 321]]","[[73112, 0], [0, 0]]","[[73020, 41], [50, 1]]","[[73085, 8], [19, 0]]"
vjepa2_attention_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,attention,balanced,False,vjepa2,True,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,ihrk16xa,coralcam,test_sliding_window,1000,nnjabhb4,0.999999995,0.03354836255311966,1.0,0.03198791295289993,1.0,0.2360374480485916,0.7445548176765442,0.024998150765895844,"[0.15731796482602764, 0.0087336242548876, 0.0, 0.001690225848767681, 0.0]","[0.1434687376022339, 0.015625, 0.0, 0.0008458277443423867, 0.0]","[0.17412663996219635, 0.0060606058686971664, 0.0, 1.0, 0.0]","[25648, 2310, 0, 77, 0]","[0.11254371702671051, 0.011448550038039684, -0.0, 0.000998488161712885, -0.0]",0.999999995,0.08302579820156097,1.0,0.07954686880111694,1.0,0.09009362012147903,0.9223327040672302,0.061996132135391235,0.999999995,0.0008451128960587084,1.0,0.00042291387217119336,1.0,0.5,0.43905431032180786,0.0004992440808564425,"[[219469, 23086], [17059, 2562]]","[[259425, 2303], [441, 7]]","[[262176, 0], [0, 0]]","[[162865, 0], [99234, 77]]","[[67270, 0], [194906, 0]]"
vjepa2_mean_uniform_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',False,fish-benchmark,lbp90388,coralcam,test_sliding_window,1000,u0r08iio,0.999999995,0.15149514377117157,1.0,0.10213323682546616,1.0,0.41024741530418396,0.9161149859428406,0.14169403910636902,"[0.470950828789783, 0.09614069984891362, 0.0, 0.1353383445673702, 0.055045873531863965]","[0.343650758266449, 0.051364194601774216, 0.0, 0.0803571417927742, 0.03529411926865578]","[0.7480568289756775, 0.7496087551116943, 0.0, 0.4285714328289032, 0.125]","[7462, 639, 0, 42, 8]","[0.40590423345565796, 0.041897546499967575, -0.0, 0.25625118613243103, 0.0044172159396111965]",0.999999995,0.28354576230049133,1.0,0.19750747084617615,1.0,0.7488328218460083,0.7924690842628479,0.22390088438987732,0.999999995,0.09519211202859879,1.0,0.05782563239336014,1.0,0.2767857313156128,0.9978184103965759,0.13033419847488403,"[[54684, 2371], [10966, 5091]]","[[54183, 200], [18290, 439]]","[[73112, 0], [0, 0]]","[[72862, 26], [208, 16]]","[[73020, 7], [84, 1]]"
vjepa2_mean_focal_loss_coralcam_sliding_window_w_temp,,40,coralcam,val_mAP,mean,balanced,False,vjepa2,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,False,fish-benchmark,n9b89dj2,coralcam,test_sliding_window,1000,tpgcsxkm,0.999999995,0.1354680210351944,1.0,0.08503518253564835,1.0,0.448171466588974,0.8712413907051086,0.15161000192165375,"[0.40907548692191026, 0.08257792958532542, 0.0, 0.1856866515974279, 0.0]","[0.26337552070617676, 0.04328186810016632, 0.0, 0.11851851642131805, 0.0]","[0.9155722260475159, 0.8967136144638062, 0.0, 0.4285714328289032, 0.0]","[7462, 639, 0, 42, 8]","[0.4541950821876526, 0.040626853704452515, -0.0, 0.26204922795295715, 0.0011788548436015844]",0.999999995,0.24582672119140625,1.0,0.15332868695259094,1.0,0.9061429500579834,0.6796422004699707,0.24741096794605255,0.999999995,0.09284332394599915,1.0,0.05925925821065903,1.0,0.2142857164144516,0.9984612464904785,0.13161404430866241,"[[44674, 869], [20976, 6593]]","[[46004, 99], [26469, 540]]","[[73112, 0], [0, 0]]","[[72949, 28], [121, 14]]","[[73030, 8], [74, 0]]"
resnet50_attention_uniform_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',True,fish-benchmark,y2mhwwa2,coralcam,test_frames,1000,0hah3haa,0.999999995,0.12999901175498962,1.0,0.08882079273462296,1.0,0.24240532517433167,0.9587755799293518,0.09682144969701767,"[0.45684437690508845, 0.19315073349498246, 0.0, 0.0, 0.0]","[0.3112519681453705, 0.1328519880771637, 0.0, 0.0, 0.0]","[0.8583489656448364, 0.3536776304244995, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.3930760324001312, 0.09000629931688309, -0.0, 0.0008393743191845715, 0.00018555880524218082]",0.999999995,0.32499754428863525,1.0,0.2220519781112671,1.0,0.606013298034668,0.8977596163749695,0.24154116213321686,0.0,0.0,0.0,0.0,0.0,0.0,0.9991793632507324,0.0005124665331095457,"[[53077, 2207], [12573, 5255]]","[[71229, 498], [1244, 141]]","[[73112, 0], [0, 0]]","[[73008, 42], [62, 0]]","[[73096, 8], [8, 0]]"
resnet50_attention_focal_loss_coralcam_frames_w_temp,,40,coralcam,val_mAP,attention,balanced,False,resnet50,True,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='focal_loss' focal_loss_gamma=5.0 focal_loss_alpha=0.75,True,fish-benchmark,994lum4t,coralcam,test_frames,1000,wd30fvef,0.999999995,0.127106711268425,1.0,0.08468671888113022,1.0,0.2569029927253723,0.9499015212059021,0.0952310860157013,"[0.4200742755389339, 0.21545930317225773, 0.0, 0.0, 0.0]","[0.27431079745292664, 0.14912280440330505, 0.0, 0.0, 0.0]","[0.8964084982872009, 0.38810640573501587, 0.0, 0.0, 0.0]","[7462, 639, 0, 42, 8]","[0.37596356868743896, 0.09939266741275787, -0.0, 0.0006423889426514506, 0.00015680209617130458]",0.999999995,0.31776678562164307,1.0,0.21171680092811584,1.0,0.6422574520111084,0.8755266070365906,0.23767811059951782,0.0,0.0,0.0,0.0,0.0,0.0,0.9992272257804871,0.00039959553396329284,"[[49463, 1776], [16187, 5686]]","[[71263, 481], [1210, 158]]","[[73112, 0], [0, 0]]","[[73010, 42], [60, 0]]","[[73101, 8], [3, 0]]"
