id,model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,batch_size,classifier,label_type,val_subset,train_subset,weight_decay,learning_rate,sliding_style,weight_config,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,acc,mAP,f1_per_class,precision_per_class,recall_per_class,positive_per_class,ap_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_acc,biting_mAP,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_acc,aggression_mAP,mouth not visible,feeding,charging,being charged,cturn,freeze_backbone
videomae_random_focal_coralcam_sliding_window_w_temp,,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,swz19i7i,coralcam,test_sliding_window,1000,41udeh34,0.999999995,0.07572023570537567,1.0,0.13957659900188446,1.0,0.05195211246609688,0.9632527232170105,0.09365349262952805,"[0.22716070012814613, 0.0, 0.0]","[0.4187298119068146, 0.0, 0.0]","[0.15585634112358093, 0.0, 0.0]","[7462, 639, 42]","[tensor(0.2462), tensor(0.0253), tensor(0.0094)]",0.999999995,0.11358035355806351,1.0,0.2093649059534073,1.0,0.07792817056179047,0.9451663494110107,0.13575641810894012,0.0,0.0,0.0,0.0,0.0,0.0,0.9994255304336548,0.009447626769542694,"[[64419, 6835], [1231, 627]]","[[72473, 639], [0, 0]]","[[73112, 0], [0, 0]]","[[73070, 42], [0, 0]]","[[73104, 8], [0, 0]]",
videomae_random_uniform_coralcam_sliding_window_w_temp,,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,weight_method='uniform',fish-benchmark,8vzg1q8e,coralcam,test_sliding_window,1000,brcdypo8,0.999999995,0.06933049112558365,1.0,0.14537546038627625,1.0,0.045519519597291946,0.9637770652770996,0.0918654277920723,"[0.20799147016010427, 0.0, 0.0]","[0.43612638115882874, 0.0, 0.0]","[0.13655856251716614, 0.0, 0.0]","[7462, 639, 42]","[tensor(0.2460), tensor(0.0213), tensor(0.0083)]",0.999999995,0.10399573296308517,1.0,0.21806319057941437,1.0,0.06827928125858307,0.9459527730941772,0.13366982340812683,0.0,0.0,0.0,0.0,0.0,0.0,0.9994255304336548,0.008256630972027779,"[[64701, 6955], [949, 507]]","[[72473, 639], [0, 0]]","[[73112, 0], [0, 0]]","[[73070, 42], [0, 0]]","[[73104, 8], [0, 0]]",False
videomae_random_inverse_coralcam_sliding_window_w_temp,,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,32,mlp,onehot,,,0.001,5e-05,sliding_window_w_temp,{'weight_method': 'inverse'},fish-benchmark,snr259gc,coralcam,test_sliding_window,1000,rbne7nwk,0.999999995,0.0872100368142128,1.0,0.04986555874347687,1.0,0.5235859751701355,0.8626354336738586,0.07189763337373734,"[0.0, 0.20913012327631356, 0.05249999840447271]","[0.0, 0.12251736968755722, 0.027079302817583084]","[0.0, 0.7136150002479553, 0.8571428656578064]","[7462, 639, 42]","[tensor(0.1834), tensor(0.0170), tensor(0.0152)]",0.999999995,0.10456506162881851,1.0,0.06125868484377861,1.0,0.35680750012397766,0.8008739948272705,0.10022228211164474,0.999999995,0.05249999836087227,1.0,0.027079302817583084,1.0,0.8571428656578064,0.9861582517623901,0.015248341485857964,"[[65650, 7462], [0, 0]]","[[48399, 243], [24074, 396]]","[[73112, 0], [0, 0]]","[[72056, 22], [1014, 20]]","[[66206, 8], [6898, 0]]",
resnet_random_uniform_coralcam_frames_w_temp_False,,100,coralcam,val_mAP,mean,random,False,resnet50,False,adam,32,mlp,onehot,,,0.001,5e-05,frames_w_temp,weight_method='uniform',fish-benchmark,gktcbpwk,coralcam,test_frames,1000,hbj82ccc,0.999999995,0.1726943850517273,1.0,0.1666666716337204,1.0,0.1791744828224182,0.9720839262008667,0.12402930110692978,"[0.5180831809260256, 0.0, 0.0]","[0.5, 0.0, 0.0]","[0.5375234484672546, 0.0, 0.0]","[7462, 639, 42]","[tensor(0.3436), tensor(0.0281), tensor(0.0004)]",0.999999995,0.25904157757759094,1.0,0.25,1.0,0.2687617242336273,0.9584131240844727,0.1858663558959961,0.0,0.0,0.0,0.0,0.0,0.0,0.9994255304336548,0.00035518911317922175,"[[63363, 5767], [2287, 1695]]","[[72473, 639], [0, 0]]","[[73112, 0], [0, 0]]","[[73070, 42], [0, 0]]","[[73104, 8], [0, 0]]",False
