model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,aggregator,batch_size,classifier,weight_decay,learning_rate,sliding_style,weight_config,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,mAP,acc,f1_per_class,mAP_per_class,precision_per_class,recall_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_mAP,biting_acc,biting_f1_per_class,biting_mAP_per_class,biting_precision_per_class,biting_recall_per_class,biting_positive_per_class,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_mAP,aggression_acc,aggression_f1_per_class,aggression_mAP_per_class,aggression_precision_per_class,aggression_recall_per_class,aggression_positive_per_class,id,label_type,val_subset,train_subset
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,ki4frf65,coralcam,test_sliding_window,1000,yhaany2p,0.1534164845943451,0.058420903980731964,0.10996360331773758,0.05051504448056221,0.25364676117897034,0.1193447858095169,0.05589688941836357,0.9270297884941101,"[0.2276744246482849, 0.06443009525537491, 0.0, 0.0, 0.0]","[0.1875322461128235, 0.034391455352306366, -0.0, 0.05740126594901085, 0.00015948528016451746]","[0.21716947853565216, 0.03540574014186859, 0.0, 0.0, 0.0]","[0.23924730718135834, 0.3574766218662262, 0.0, 0.0, 0.0]","[8184.0, 1284.0, 0.0, 47.0, 14.0]",0.15371406078338623,0.1460522562265396,0.10996360331773758,0.12628760933876038,0.2552809417247772,0.29836195707321167,0.11096185445785522,0.8179915547370911,"[0.2276744246482849, 0.06443009525537491]","[0.1875322461128235, 0.034391455352306366]","[0.21716947853565216, 0.03540574014186859]","[0.23924730718135834, 0.3574766218662262]","[8184.0, 1284.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0287803765386343,0.999582827091217,"[0.0, 0.0]","[0.05740126594901085, 0.00015948528016451746]","[0.0, 0.0]","[0.0, 0.0]","[47.0, 14.0]",,,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,my6ryax1,coralcam,test_sliding_window,1000,63rak9f7,0.176592618227005,0.07016783952713013,0.13783560693264008,0.05623581260442734,0.2456711083650589,0.18288573622703552,0.07339759171009064,0.9402806758880615,"[0.233011856675148, 0.0637732520699501, 0.0, 0.054054055362939835, 0.0]","[0.19853787124156952, 0.03422245383262634, -0.0, 0.13387176394462585, 0.00035588114405982196]","[0.21322783827781677, 0.03934426233172417, 0.0, 0.028606964275240898, 0.0]","[0.25684261322021484, 0.1682243049144745, 0.0, 0.4893617033958435, 0.0]","[8184.0, 1284.0, 0.0, 47.0, 14.0]",0.18681496381759644,0.14839255809783936,0.15102945268154144,0.12628604471683502,0.24482467770576477,0.21253345906734467,0.11638016253709793,0.8619925379753113,"[0.233011856675148, 0.0637732520699501]","[0.19853787124156952, 0.03422245383262634]","[0.21322783827781677, 0.03934426233172417]","[0.25684261322021484, 0.1682243049144745]","[8184.0, 1284.0]",0.02710665948688984,0.027027027681469917,0.014058679342269897,0.014303482137620449,0.37704917788505554,0.24468085169792175,0.06711382418870926,0.9887090921401978,"[0.054054055362939835, 0.0]","[0.13387176394462585, 0.00035588114405982196]","[0.028606964275240898, 0.0]","[0.4893617033958435, 0.0]","[47.0, 14.0]",videomae_balanced_focal_coralcam_sliding_window_w_temp,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,jm0btnvo,coralcam,test_frames,1000,5ioxmnru,0.3412811756134033,0.1086711660027504,0.24012652039527893,0.07727033644914627,0.5896924734115601,0.20083580911159515,0.0799119621515274,0.9406746029853821,"[0.4129709005355835, 0.1262398511171341, 0.0, 0.004145077895373106, 0.0]","[0.32081693410873413, 0.07563646137714386, -0.0, 0.0028057885356247425, 0.00030062696896493435]","[0.30591699481010437, 0.07825601100921631, 0.0, 0.0021786491852253675, 0.0]","[0.635285496711731, 0.32634031772613525, 0.0, 0.042553190141916275, 0.0]","[8179.0, 1287.0, 0.0, 47.0, 14.0]",0.3530077338218689,0.2696053683757782,0.251252681016922,0.19208650290966034,0.5932812094688416,0.4808129072189331,0.1982266902923584,0.8592159748077393,"[0.4129709005355835, 0.1262398511171341]","[0.32081693410873413, 0.07563646137714386]","[0.30591699481010437, 0.07825601100921631]","[0.635285496711731, 0.32634031772613525]","[8179.0, 1287.0]",0.003619909519329667,0.002072538947686553,0.0019157087663188577,0.0010893245926126838,0.032786883413791656,0.021276595070958138,0.0015532077522948384,0.9924704432487488,"[0.004145077895373106, 0.0]","[0.0028057885356247425, 0.00030062696896493435]","[0.0021786491852253675, 0.0]","[0.042553190141916275, 0.0]","[47.0, 14.0]",,,,
,100,coralcam,val_mAP,mean,random,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,4vtyak8i,coralcam,test_frames,1000,tukhwuhk,0.12043119221925735,0.029574239626526833,0.30464422702789307,0.14081725478172302,0.07504985481500626,0.01787663996219635,0.0752200037240982,0.9714301228523254,"[0.1432451456785202, 0.0046260603703558445, 0.0, 0.0, 0.0]","[0.313963383436203, 0.056807514280080795, -0.0, 0.004749756772071123, 0.0005793798482045531]","[0.40408626198768616, 0.30000001192092896, 0.0, 0.0, 0.0]","[0.08705220371484756, 0.0023310023825615644, 0.0, 0.0, 0.0]","[8179.0, 1287.0, 0.0, 47.0, 14.0]",0.12724684178829193,0.0739356055855751,0.4034988582134247,0.35204315185546875,0.07553348690271378,0.044691603630781174,0.18538545072078705,0.9329248070716858,"[0.1432451456785202, 0.0046260603703558445]","[0.313963383436203, 0.056807514280080795]","[0.40408626198768616, 0.30000001192092896]","[0.08705220371484756, 0.0023310023825615644]","[8179.0, 1287.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.002664568368345499,0.9956505298614502,"[0.0, 0.0]","[0.004749756772071123, 0.0005793798482045531]","[0.0, 0.0]","[0.0, 0.0]","[47.0, 14.0]",,,,
,100,coralcam,val_mAP,mean,random,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,8p9an3a8,coralcam,test_frames,1000,kugfaexg,0.2617558538913727,0.0584331639111042,0.4950350522994995,0.0990070104598999,0.17791539430618286,0.041447609663009644,0.0942230373620987,0.9738456010818481,"[0.2921658158302307, 0.0, 0.0, 0.0, 0.0]","[0.3979855179786682, 0.06966490298509598, -0.0, 0.0032533619087189436, 0.00021142572222743183]","[0.4950350522994995, 0.0, 0.0, 0.0, 0.0]","[0.20723804831504822, 0.0, 0.0, 0.0, 0.0]","[8179.0, 1287.0, 0.0, 47.0, 14.0]",0.26299455761909485,0.14608290791511536,0.4950350522994995,0.24751752614974976,0.1790619045495987,0.10361902415752411,0.2338252067565918,0.9350311756134033,"[0.2921658158302307, 0.0]","[0.3979855179786682, 0.06966490298509598]","[0.4950350522994995, 0.0]","[0.20723804831504822, 0.0]","[8179.0, 1287.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.001732393866404891,0.999582827091217,"[0.0, 0.0]","[0.0032533619087189436, 0.00021142572222743183]","[0.0, 0.0]","[0.0, 0.0]","[47.0, 14.0]",,,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,True,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'uniform'},fish-benchmark,r1rdqini,coralcam,test_frames,1000,6w2d32yq,0.5426145792007446,0.12894853949546814,0.5500386357307434,0.2241230010986328,0.5353882312774658,0.13000231981277466,0.1411975622177124,0.9770106077194214,"[0.582194983959198, 0.06254767626523972, 0.0, 0.0, 0.0]","[0.5983260273933411, 0.10706678032875061, -0.0, 0.00048173783579841256, 0.00011329598783049732]","[0.5511705875396729, 0.5694444179534912, 0.0, 0.0, 0.0]","[0.6169204115867615, 0.03309120237827301, 0.0, 0.0, 0.0]","[8014.0, 1239.0, 0.0, 46.0, 12.0]",0.5449576377868652,0.32237133383750916,0.5513160824775696,0.560307502746582,0.5387442111968994,0.32500579953193665,0.35269641876220703,0.9430667757987976,"[0.582194983959198, 0.06254767626523972]","[0.5983260273933411, 0.10706678032875061]","[0.5511705875396729, 0.5694444179534912]","[0.6169204115867615, 0.03309120237827301]","[8014.0, 1239.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.00029751690453849733,0.9994597434997559,"[0.0, 0.0]","[0.00048173783579841256, 0.00011329598783049732]","[0.0, 0.0]","[0.0, 0.0]","[46.0, 12.0]",dino_balanced_finetune_coralcam_frames,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,duhn3c2b,coralcam,test_frames,1000,n6w2ccic,0.42097026109695435,0.09167521446943283,0.3413933515548706,0.08129677176475525,0.5489206314086914,0.12864349782466888,0.08497991412878036,0.9615384340286255,"[0.44667163491249084, 0.011704462580382824, 0.0, 0.0, 0.0]","[0.39508572220802307, 0.028854338452219963, -0.0, 0.00064338423544541, 0.0003161573549732566]","[0.34398382902145386, 0.0625, 0.0, 0.0, 0.0]","[0.6367606520652771, 0.006456819828599691, 0.0, 0.0, 0.0]","[8014.0, 1239.0, 0.0, 46.0, 12.0]",0.4221176207065582,0.22918805480003357,0.34157589077949524,0.20324191451072693,0.5523613691329956,0.3216087222099304,0.2119700312614441,0.9042975306510925,"[0.44667163491249084, 0.011704462580382824]","[0.39508572220802307, 0.028854338452219963]","[0.34398382902145386, 0.0625]","[0.6367606520652771, 0.006456819828599691]","[8014.0, 1239.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0004797707952093333,0.999548614025116,"[0.0, 0.0]","[0.00064338423544541, 0.0003161573549732566]","[0.0, 0.0]","[0.0, 0.0]","[46.0, 12.0]",dino_balanced_focal_finetune_coralcam_frames,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,4ppn5r9g,coralcam,test_frames,1000,hrpp4opa,0.5062271356582642,0.15084192156791687,0.4449056088924408,0.16214799880981445,0.5871549844741821,0.16318321228027344,0.1410243660211563,0.9708255529403687,"[0.5342320203781128, 0.21997755765914917, 0.0, 0.0, 0.0]","[0.5287272930145264, 0.17542701959609985, -0.0, 0.0008282207418233156, 0.00013931284775026143]","[0.4497824013233185, 0.36095765233039856, 0.0, 0.0, 0.0]","[0.6577239632606506, 0.15819208323955536, 0.0, 0.0, 0.0]","[8014.0, 1239.0, 0.0, 46.0, 12.0]",0.5082035660743713,0.377104789018631,0.4458489716053009,0.4053700268268585,0.5908353924751282,0.4079580307006836,0.3520771563053131,0.9276384115219116,"[0.5342320203781128, 0.21997755765914917]","[0.5287272930145264, 0.17542701959609985]","[0.4497824013233185, 0.36095765233039856]","[0.6577239632606506, 0.15819208323955536]","[8014.0, 1239.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0004837667802348733,0.9994255304336548,"[0.0, 0.0]","[0.0008282207418233156, 0.00013931284775026143]","[0.0, 0.0]","[0.0, 0.0]","[46.0, 12.0]",,,,
,100,coralcam,val_mAP,mean,random,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,8q7742l5,coralcam,test_frames,1000,mo4vqmr9,0.3641769289970398,0.12279286980628967,0.418549507856369,0.15275757014751434,0.32230696082115173,0.10382433235645294,0.11931109428405762,0.9713343977928162,"[0.4320681691169739, 0.1818961799144745, 0.0, 0.0, 0.0]","[0.49108636379241943, 0.1048174500465393, -0.0, 0.0005366443074308336, 0.00011503132554935291]","[0.5696486830711365, 0.19413919746875763, 0.0, 0.0, 0.0]","[0.3480159640312195, 0.17110572755336761, 0.0, 0.0, 0.0]","[8014.0, 1239.0, 0.0, 46.0, 12.0]",0.39380618929862976,0.306982159614563,0.5011690258979797,0.38189393281936646,0.3243272304534912,0.25956085324287415,0.29795190691947937,0.9368160963058472,"[0.4320681691169739, 0.1818961799144745]","[0.49108636379241943, 0.1048174500465393]","[0.5696486830711365, 0.19413919746875763]","[0.3480159640312195, 0.17110572755336761]","[8014.0, 1239.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.00032583781285211444,0.9915198683738708,"[0.0, 0.0]","[0.0005366443074308336, 0.00011503132554935291]","[0.0, 0.0]","[0.0, 0.0]","[46.0, 12.0]",,,,
,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,{'weight_method': 'inverse'},fish-benchmark,bzn9b1ne,coralcam,test_sliding_window,1000,08zpdicf,0.04361244663596153,0.013769060373306274,0.026433581486344337,0.06567329913377762,0.12456711381673813,0.1732030212879181,0.05022705718874931,0.8575883507728577,"[0.020997993648052216, 0.047847308218479156, 0.0, 0.0, 0.0]","[0.19480325281620026, 0.03325844556093216, -0.0, 0.0228068009018898, 0.0002668002271093428]","[0.3037542700767517, 0.02461221255362034, 0.0, 0.0, 0.0]","[0.01087487768381834, 0.855140209197998, 0.0, 0.0, 0.0]","[8184.0, 1284.0, 0.0, 47.0, 14.0]",0.04366137459874153,0.034422650933265686,0.026433581486344337,0.16418324410915375,0.12536966800689697,0.43300753831863403,0.1140308529138565,0.6443880796432495,"[0.020997993648052216, 0.047847308218479156]","[0.19480325281620026, 0.03325844556093216]","[0.3037542700767517, 0.02461221255362034]","[0.01087487768381834, 0.855140209197998]","[8184.0, 1284.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.011536800302565098,0.999582827091217,"[0.0, 0.0]","[0.0228068009018898, 0.0002668002271093428]","[0.0, 0.0]","[0.0, 0.0]","[47.0, 14.0]",,,,
