model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,aggregator,batch_size,classifier,weight_decay,learning_rate,sliding_style,weight_config,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,mAP,acc,f1_per_class,mAP_per_class,precision_per_class,recall_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_mAP,biting_acc,biting_f1_per_class,biting_mAP_per_class,biting_precision_per_class,biting_recall_per_class,biting_positive_per_class,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_mAP,aggression_acc,aggression_f1_per_class,aggression_mAP_per_class,aggression_precision_per_class,aggression_recall_per_class,aggression_positive_per_class,id,label_type,val_subset,train_subset
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,ki4frf65,coralcam,test_sliding_window,1000,yhaany2p,0.20207083225250244,0.07979389280080795,0.16692447662353516,0.0723971426486969,0.25596484541893005,0.11580721288919449,0.07721066474914551,0.9207352995872498,"[0.2395491749048233, 0.15942029654979706, 0.0, 0.0, 0.0]","[0.22397878766059875, 0.09804102033376694, -0.0, 0.06366527080535889, 0.00036824436392635107]","[0.2593167722225189, 0.10266892611980438, 0.0, 0.0, 0.0]","[0.2225818783044815, 0.35645419359207153, 0.0, 0.0, 0.0]","[10504.0, 3734.0, 0.0, 63.0, 33.0]",0.2026064395904541,0.19948473572731018,0.16692447662353516,0.18099284172058105,0.2576906979084015,0.2895180284976959,0.16100990772247314,0.8024948239326477,"[0.2395491749048233, 0.15942029654979706]","[0.22397878766059875, 0.09804102033376694]","[0.2593167722225189, 0.10266892611980438]","[0.2225818783044815, 0.35645419359207153]","[10504.0, 3734.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.03201675787568092,0.9993434548377991,"[0.0, 0.0]","[0.06366527080535889, 0.00036824436392635107]","[0.0, 0.0]","[0.0, 0.0]","[63.0, 33.0]",,,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,my6ryax1,coralcam,test_sliding_window,1000,63rak9f7,0.20058752596378326,0.08904006332159042,0.18493875861167908,0.08029909431934357,0.21912933886051178,0.17283061146736145,0.1012994796037674,0.9315133094787598,"[0.24378745257854462, 0.13681699335575104, 0.0, 0.06228373572230339, 0.0023121386766433716]","[0.23208686709403992, 0.09833750128746033, -0.0, 0.17509040236473083, 0.0009825752349570394]","[0.25177520513534546, 0.11493624746799469, 0.0, 0.033582091331481934, 0.0012019231216982007]","[0.23629093170166016, 0.1689876765012741, 0.0, 0.4285714328289032, 0.03030303120613098]","[10504.0, 3734.0, 0.0, 63.0, 33.0]",0.2104373723268509,0.19030222296714783,0.20282773673534393,0.18335571885108948,0.2186402529478073,0.20263931155204773,0.16521218419075012,0.8402451276779175,"[0.24378745257854462, 0.13681699335575104]","[0.23208686709403992, 0.09833750128746033]","[0.25177520513534546, 0.11493624746799469]","[0.23629093170166016, 0.1689876765012741]","[10504.0, 3734.0]",0.032332561910152435,0.03229793906211853,0.01711491495370865,0.017392007634043694,0.2916666567325592,0.2294372320175171,0.08803649246692657,0.9885381460189819,"[0.06228373572230339, 0.0023121386766433716]","[0.17509040236473083, 0.0009825752349570394]","[0.033582091331481934, 0.0012019231216982007]","[0.4285714328289032, 0.03030303120613098]","[63.0, 33.0]",videomae_balanced_focal_coralcam_sliding_window_w_temp,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,jm0btnvo,coralcam,test_frames,1000,5ioxmnru,0.36721277236938477,0.12823916971683502,0.29603350162506104,0.10493485629558563,0.48345664143562317,0.17225176095962524,0.09941349923610687,0.9347029328346252,"[0.43888059258461, 0.19619905948638916, 0.0, 0.006116208154708147, 0.0]","[0.3550417423248291, 0.13744693994522095, -0.0, 0.0037451835814863443, 0.000833587720990181]","[0.35501912236213684, 0.1663871854543686, 0.0, 0.003267973894253373, 0.0]","[0.5746140480041504, 0.23902569711208344, 0.0, 0.0476190485060215, 0.0]","[10494.0, 3736.0, 0.0, 63.0, 33.0]",0.378492146730423,0.3175398111343384,0.30972620844841003,0.2607031464576721,0.486507385969162,0.4068198800086975,0.24624434113502502,0.8445125222206116,"[0.43888059258461, 0.19619905948638916]","[0.3550417423248291, 0.13744693994522095]","[0.35501912236213684, 0.1663871854543686]","[0.5746140480041504, 0.23902569711208344]","[10494.0, 3736.0]",0.005263158120214939,0.0030581040773540735,0.0028735632076859474,0.0016339869471266866,0.03125,0.02380952425301075,0.002289385534822941,0.9922447800636292,"[0.006116208154708147, 0.0]","[0.0037451835814863443, 0.000833587720990181]","[0.003267973894253373, 0.0]","[0.0476190485060215, 0.0]","[63.0, 33.0]",,,,
,100,coralcam,val_mAP,mean,random,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,4vtyak8i,coralcam,test_frames,1000,tukhwuhk,0.0950038954615593,0.02607099339365959,0.3374520540237427,0.14955732226371765,0.05528409779071808,0.015197763219475746,0.09509997814893723,0.9587236046791077,"[0.12875325977802277, 0.0016017084708437324, 0.0, 0.0, 0.0]","[0.3468377888202667, 0.12256389856338501, -0.0, 0.004950682632625103, 0.0011475305072963238]","[0.4477865993976593, 0.30000001192092896, 0.0, 0.0, 0.0]","[0.07518582046031952, 0.0008029978489503264, 0.0, 0.0, 0.0]","[10494.0, 3736.0, 0.0, 63.0, 33.0]",0.0989876240491867,0.06517748534679413,0.44695258140563965,0.3738933205604553,0.05565706267952919,0.03799441084265709,0.23470084369182587,0.9013978838920593,"[0.12875325977802277, 0.0016017084708437324]","[0.3468377888202667, 0.12256389856338501]","[0.4477865993976593, 0.30000001192092896]","[0.07518582046031952, 0.0008029978489503264]","[10494.0, 3736.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0030491065699607134,0.9954111576080322,"[0.0, 0.0]","[0.004950682632625103, 0.0011475305072963238]","[0.0, 0.0]","[0.0, 0.0]","[63.0, 33.0]",,,,
,100,coralcam,val_mAP,mean,random,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,8p9an3a8,coralcam,test_frames,1000,kugfaexg,0.20788732171058655,0.053024858236312866,0.5388434529304504,0.10776869207620621,0.1287868171930313,0.035162948071956635,0.11221518367528915,0.9615384340286255,"[0.26512429118156433, 0.0, 0.0, 0.0, 0.0]","[0.42370983958244324, 0.1333005130290985, -0.0, 0.003606666810810566, 0.0004588770680129528]","[0.5388434529304504, 0.0, 0.0, 0.0, 0.0]","[0.17581474781036377, 0.0, 0.0, 0.0, 0.0]","[10494.0, 3736.0, 0.0, 63.0, 33.0]",0.2090177834033966,0.13256214559078217,0.5388434529304504,0.2694217264652252,0.129655659198761,0.08790737390518188,0.2785051763057709,0.9045026898384094,"[0.26512429118156433, 0.0]","[0.42370983958244324, 0.1333005130290985]","[0.5388434529304504, 0.0]","[0.17581474781036377, 0.0]","[10494.0, 3736.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0020327719394117594,0.9993434548377991,"[0.0, 0.0]","[0.003606666810810566, 0.0004588770680129528]","[0.0, 0.0]","[0.0, 0.0]","[63.0, 33.0]",,,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,True,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'uniform'},fish-benchmark,r1rdqini,coralcam,test_frames,1000,6w2d32yq,0.4720529317855835,0.11693981289863586,0.5982566475868225,0.2421330362558365,0.38981953263282776,0.10778604447841644,0.14181402325630188,0.9668235182762146,"[0.5607925057411194, 0.02390654757618904, 0.0, 0.0, 0.0]","[0.5921281576156616, 0.11598192155361176, -0.0, 0.0006789510371163487, 0.0002810975129250437]","[0.5995540618896484, 0.6111111044883728, 0.0, 0.0, 0.0]","[0.5267384648323059, 0.012191742658615112, 0.0, 0.0, 0.0]","[10210.0, 3609.0, 0.0, 62.0, 28.0]",0.47434496879577637,0.29234951734542847,0.5996460914611816,0.605332612991333,0.39235833287239075,0.2694650888442993,0.3540550470352173,0.9178178906440735,"[0.5607925057411194, 0.02390654757618904]","[0.5921281576156616, 0.11598192155361176]","[0.5995540618896484, 0.6111111044883728]","[0.5267384648323059, 0.012191742658615112]","[10210.0, 3609.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.000480024260468781,0.9992408752441406,"[0.0, 0.0]","[0.0006789510371163487, 0.0002810975129250437]","[0.0, 0.0]","[0.0, 0.0]","[62.0, 28.0]",dino_balanced_finetune_coralcam_frames,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,duhn3c2b,coralcam,test_frames,1000,n6w2ccic,0.40228530764579773,0.09478046000003815,0.38801681995391846,0.11239320039749146,0.4176432490348816,0.11457862704992294,0.09760074317455292,0.9527792930603027,"[0.4621281623840332, 0.011774150654673576, 0.0, 0.0, 0.0]","[0.4154682457447052, 0.0709594190120697, -0.0, 0.0008315477170981467, 0.0007444813381880522]","[0.3900910019874573, 0.171875, 0.0, 0.0, 0.0]","[0.5667972564697266, 0.006095871329307556, 0.0, 0.0, 0.0]","[10210.0, 3609.0, 0.0, 62.0, 28.0]",0.4036550521850586,0.23695115745067596,0.3882242739200592,0.28098300099372864,0.42036327719688416,0.28644657135009766,0.24321383237838745,0.8826184272766113,"[0.4621281623840332, 0.011774150654673576]","[0.4154682457447052, 0.0709594190120697]","[0.3900910019874573, 0.171875]","[0.5667972564697266, 0.006095871329307556]","[10210.0, 3609.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.000788014498539269,0.9993298053741455,"[0.0, 0.0]","[0.0008315477170981467, 0.0007444813381880522]","[0.0, 0.0]","[0.0, 0.0]","[62.0, 28.0]",dino_balanced_focal_finetune_coralcam_frames,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,4ppn5r9g,coralcam,test_frames,1000,hrpp4opa,0.46104514598846436,0.1275714486837387,0.491455078125,0.18139389157295227,0.43417930603027344,0.12628550827503204,0.13578474521636963,0.9613770842552185,"[0.5304391384124756, 0.10741811245679855, 0.0, 0.0, 0.0]","[0.5291643142700195, 0.148013636469841, -0.0, 0.0013718081172555685, 0.0003739668754860759]","[0.49628809094429016, 0.4106813967227936, 0.0, 0.0, 0.0]","[0.5696375966072083, 0.061789970844984055, 0.0, 0.0, 0.0]","[10210.0, 3609.0, 0.0, 62.0, 28.0]",0.4630957543849945,0.31892862915992737,0.49249714612960815,0.45348474383354187,0.43700700998306274,0.3157137930393219,0.33858898282051086,0.9042359590530396,"[0.5304391384124756, 0.10741811245679855]","[0.5291643142700195, 0.148013636469841]","[0.49628809094429016, 0.4106813967227936]","[0.5696375966072083, 0.061789970844984055]","[10210.0, 3609.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0008728874963708222,0.9992067217826843,"[0.0, 0.0]","[0.0013718081172555685, 0.0003739668754860759]","[0.0, 0.0]","[0.0, 0.0]","[62.0, 28.0]",,,,
,100,coralcam,val_mAP,mean,random,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,8q7742l5,coralcam,test_frames,1000,mo4vqmr9,0.308553546667099,0.10439740121364594,0.45355647802352905,0.17724090814590454,0.23380544781684875,0.0748807042837143,0.12358202040195465,0.9601296782493591,"[0.3892492949962616, 0.13273771107196808, 0.0, 0.0, 0.0]","[0.48944908380508423, 0.12751077115535736, -0.0, 0.0006800484261475503, 0.00027017781394533813]","[0.6004902124404907, 0.2857142984867096, 0.0, 0.0, 0.0]","[0.2879529893398285, 0.08645053952932358, 0.0, 0.0, 0.0]","[10210.0, 3609.0, 0.0, 62.0, 28.0]",0.32836875319480896,0.26099351048469543,0.5430861711502075,0.44310224056243896,0.23532816767692566,0.18720176815986633,0.3084799349308014,0.9090231657028198,"[0.3892492949962616, 0.13273771107196808]","[0.48944908380508423, 0.12751077115535736]","[0.6004902124404907, 0.2857142984867096]","[0.2879529893398285, 0.08645053952932358]","[10210.0, 3609.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.000475113105494529,0.9913010001182556,"[0.0, 0.0]","[0.0006800484261475503, 0.00027017781394533813]","[0.0, 0.0]","[0.0, 0.0]","[62.0, 28.0]",,,,
,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,{'weight_method': 'inverse'},fish-benchmark,bzn9b1ne,coralcam,test_sliding_window,1000,08zpdicf,0.11222336441278458,0.030522989109158516,0.07402293384075165,0.08610345423221588,0.23189619183540344,0.17441488802433014,0.07180513441562653,0.8561357855796814,"[0.01944984681904316, 0.13316510617733002, 0.0, 0.0, 0.0]","[0.23444071412086487, 0.09442360699176788, -0.0, 0.029538314789533615, 0.0006230446160770953]","[0.35836178064346313, 0.07215547561645508, 0.0, 0.0, 0.0]","[0.00999619159847498, 0.8620781898498535, 0.0, 0.0, 0.0]","[10504.0, 3734.0, 0.0, 63.0, 33.0]",0.11240552365779877,0.07630747556686401,0.07402293384075165,0.2152586281299591,0.23345975577831268,0.43603718280792236,0.16443216800689697,0.640995979309082,"[0.01944984681904316, 0.13316510617733002]","[0.23444071412086487, 0.09442360699176788]","[0.35836178064346313, 0.07215547561645508]","[0.00999619159847498, 0.8620781898498535]","[10504.0, 3734.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.015080680139362812,0.9993434548377991,"[0.0, 0.0]","[0.029538314789533615, 0.0006230446160770953]","[0.0, 0.0]","[0.0, 0.0]","[63.0, 33.0]",,,,
