model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,aggregator,batch_size,classifier,weight_decay,learning_rate,sliding_style,weight_config,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,mAP,acc,f1_per_class,mAP_per_class,precision_per_class,recall_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_mAP,biting_acc,biting_f1_per_class,biting_mAP_per_class,biting_precision_per_class,biting_recall_per_class,biting_positive_per_class,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_mAP,aggression_acc,aggression_f1_per_class,aggression_mAP_per_class,aggression_precision_per_class,aggression_recall_per_class,aggression_positive_per_class,id,label_type,val_subset,train_subset
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,ki4frf65,coralcam,test_sliding_window,1000,yhaany2p,0.13540871441364288,0.05068519338965416,0.09281164407730103,0.043719395995140076,0.25027602910995483,0.11964138597249985,0.04807325080037117,0.9287367463111877,"[0.22005097568035126, 0.03337499126791954, 0.0, 0.0, 0.0]","[0.17496579885482788, 0.017268266528844833, -0.0, 0.04802267625927925, 0.00010950643627438694]","[0.20108695328235626, 0.017510028555989265, 0.0, 0.0, 0.0]","[0.24296435713768005, 0.3552425801753998, 0.0, 0.0, 0.0]","[7462.0, 639.0, 0.0, 42.0, 8.0]",0.13563378155231476,0.12671297788619995,0.09281164407730103,0.10929848998785019,0.25182077288627625,0.2991034686565399,0.0961170345544815,0.8221837878227234,"[0.22005097568035126, 0.03337499126791954]","[0.17496579885482788, 0.017268266528844833]","[0.20108695328235626, 0.017510028555989265]","[0.24296435713768005, 0.3552425801753998]","[7462.0, 639.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.02406609058380127,0.9996580481529236,"[0.0, 0.0]","[0.04802267625927925, 0.00010950643627438694]","[0.0, 0.0]","[0.0, 0.0]","[42.0, 8.0]",,,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,my6ryax1,coralcam,test_sliding_window,1000,63rak9f7,0.16654068231582642,0.06233549863100052,0.12323363125324249,0.049004118889570236,0.2567782998085022,0.18644285202026367,0.05456671863794327,0.9426934123039246,"[0.22678983211517334, 0.035242289304733276, 0.0, 0.04964539036154747, 0.0]","[0.18663907051086426, 0.016961269080638885, -0.0, 0.06902226060628891, 0.000210992744541727]","[0.19922904670238495, 0.019672131165862083, 0.0, 0.026119403541088104, 0.0]","[0.26320022344589233, 0.1690140813589096, 0.0, 0.5, 0.0]","[7462.0, 639.0, 0.0, 42.0, 8.0]",0.17672395706176758,0.1310160607099533,0.1350013017654419,0.10945058614015579,0.25577089190483093,0.21610715985298157,0.10180017352104187,0.8679765462875366,"[0.22678983211517334, 0.035242289304733276]","[0.18663907051086426, 0.016961269080638885]","[0.19922904670238495, 0.019672131165862083]","[0.26320022344589233, 0.1690140813589096]","[7462.0, 639.0]",0.024911031126976013,0.024822695180773735,0.012836186215281487,0.013059701770544052,0.41999998688697815,0.25,0.0346166267991066,0.9887569546699524,"[0.04964539036154747, 0.0]","[0.06902226060628891, 0.000210992744541727]","[0.026119403541088104, 0.0]","[0.5, 0.0]","[42.0, 8.0]",videomae_balanced_focal_coralcam_sliding_window_w_temp,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,ki4frf65,coralcam,test_sliding_window,1000,yhaany2p,0.13540871441364288,0.05068519338965416,0.09281164407730103,0.043719395995140076,0.25027602910995483,0.11964138597249985,0.04807325080037117,0.9287367463111877,"[0.22005097568035126, 0.03337499126791954, 0.0, 0.0, 0.0]","[0.17496579885482788, 0.017268266528844833, -0.0, 0.04802267625927925, 0.00010950643627438694]","[0.20108695328235626, 0.017510028555989265, 0.0, 0.0, 0.0]","[0.24296435713768005, 0.3552425801753998, 0.0, 0.0, 0.0]","[7462.0, 639.0, 0.0, 42.0, 8.0]",0.13563378155231476,0.12671297788619995,0.09281164407730103,0.10929848998785019,0.25182077288627625,0.2991034686565399,0.0961170345544815,0.8221837878227234,"[0.22005097568035126, 0.03337499126791954]","[0.17496579885482788, 0.017268266528844833]","[0.20108695328235626, 0.017510028555989265]","[0.24296435713768005, 0.3552425801753998]","[7462.0, 639.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.02406609058380127,0.9996580481529236,"[0.0, 0.0]","[0.04802267625927925, 0.00010950643627438694]","[0.0, 0.0]","[0.0, 0.0]","[42.0, 8.0]",,,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,my6ryax1,coralcam,test_sliding_window,1000,63rak9f7,0.16654068231582642,0.06233549863100052,0.12323363125324249,0.049004118889570236,0.2567782998085022,0.18644285202026367,0.05456671863794327,0.9426934123039246,"[0.22678983211517334, 0.035242289304733276, 0.0, 0.04964539036154747, 0.0]","[0.18663907051086426, 0.016961269080638885, -0.0, 0.06902226060628891, 0.000210992744541727]","[0.19922904670238495, 0.019672131165862083, 0.0, 0.026119403541088104, 0.0]","[0.26320022344589233, 0.1690140813589096, 0.0, 0.5, 0.0]","[7462.0, 639.0, 0.0, 42.0, 8.0]",0.17672395706176758,0.1310160607099533,0.1350013017654419,0.10945058614015579,0.25577089190483093,0.21610715985298157,0.10180017352104187,0.8679765462875366,"[0.22678983211517334, 0.035242289304733276]","[0.18663907051086426, 0.016961269080638885]","[0.19922904670238495, 0.019672131165862083]","[0.26320022344589233, 0.1690140813589096]","[7462.0, 639.0]",0.024911031126976013,0.024822695180773735,0.012836186215281487,0.013059701770544052,0.41999998688697815,0.25,0.0346166267991066,0.9887569546699524,"[0.04964539036154747, 0.0]","[0.06902226060628891, 0.000210992744541727]","[0.026119403541088104, 0.0]","[0.5, 0.0]","[42.0, 8.0]",videomae_balanced_focal_coralcam_sliding_window_w_temp,onehot,,
