model,epochs,dataset,monitor,pooling,sampler,shuffle,backbone,fulltune,optimizer,aggregator,batch_size,classifier,weight_decay,learning_rate,sliding_style,weight_config,training_entity,training_run_id,training_project,test_sliding_style,max_samples_per_class,run_id,f1_micro,f1_macro,precision_micro,precision_macro,recall_micro,recall_macro,mAP,acc,f1_per_class,mAP_per_class,precision_per_class,recall_per_class,positive_per_class,biting_f1_micro,biting_f1_macro,biting_precision_micro,biting_precision_macro,biting_recall_micro,biting_recall_macro,biting_mAP,biting_acc,biting_f1_per_class,biting_mAP_per_class,biting_precision_per_class,biting_recall_per_class,biting_positive_per_class,aggression_f1_micro,aggression_f1_macro,aggression_precision_micro,aggression_precision_macro,aggression_recall_micro,aggression_recall_macro,aggression_mAP,aggression_acc,aggression_f1_per_class,aggression_mAP_per_class,aggression_precision_per_class,aggression_recall_per_class,aggression_positive_per_class,id,label_type,val_subset,train_subset
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,ki4frf65,coralcam,test_sliding_window,1000,yhaany2p,0.21780277788639069,0.0866747722029686,0.19108280539512634,0.08158210664987564,0.2532103359699249,0.11293736100196838,0.0856323391199112,0.9174773097038269,"[0.24136759340763092, 0.19200627505779266, 0.0, 0.0, 0.0]","[0.23946595191955566, 0.12522023916244507, -0.0, 0.06302129477262497, 0.0004541784292086959]","[0.27562111616134644, 0.13228940963745117, 0.0, 0.0, 0.0]","[0.2146868258714676, 0.3499999940395355, 0.0, 0.0, 0.0]","[11575.0, 4900.0, 0.0, 71.0, 41.0]",0.21843713521957397,0.2166869342327118,0.19108280539512634,0.2039552628993988,0.2549317181110382,0.28234341740608215,0.18234309554100037,0.7944591641426086,"[0.24136759340763092, 0.19200627505779266]","[0.23946595191955566, 0.12522023916244507]","[0.27562111616134644, 0.13228940963745117]","[0.2146868258714676, 0.3499999940395355]","[11575.0, 4900.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.031737737357616425,0.9992340803146362,"[0.0, 0.0]","[0.06302129477262497, 0.0004541784292086959]","[0.0, 0.0]","[0.0, 0.0]","[71.0, 41.0]",,,,
,40,coralcam,val_mAP,mean,balanced,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_temp,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,my6ryax1,coralcam,test_sliding_window,1000,63rak9f7,0.20898990333080292,0.09558729827404022,0.2065473347902298,0.09168250113725662,0.2114909291267395,0.17113089561462402,0.11070168018341064,0.9273580312728882,"[0.24672234058380127, 0.16034649312496185, 0.0, 0.06628571450710297, 0.004581901710480452]","[0.2464834749698639, 0.12831930816173553, -0.0, 0.1774287074804306, 0.0012769103050231934]","[0.2682085633277893, 0.15173041820526123, 0.0, 0.03606965020298958, 0.0024038462433964014]","[0.2284233272075653, 0.17000000178813934, 0.0, 0.4084506928920746, 0.04878048598766327]","[11575.0, 4900.0, 0.0, 71.0, 41.0]",0.21852119266986847,0.20353442430496216,0.22654417157173157,0.20996949076652527,0.21104703843593597,0.19921165704727173,0.18740138411521912,0.8299252986907959,"[0.24672234058380127, 0.16034649312496185]","[0.2464834749698639, 0.12831930816173553]","[0.2682085633277893, 0.15173041820526123]","[0.2284233272075653, 0.17000000178813934]","[11575.0, 4900.0]",0.03546910732984543,0.0354338064789772,0.01894865557551384,0.019236749038100243,0.2767857015132904,0.22861558198928833,0.0893528088927269,0.9884697198867798,"[0.06628571450710297, 0.004581901710480452]","[0.1774287074804306, 0.0012769103050231934]","[0.03606965020298958, 0.0024038462433964014]","[0.4084506928920746, 0.04878048598766327]","[71.0, 41.0]",videomae_balanced_focal_coralcam_sliding_window_w_temp,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,jm0btnvo,coralcam,test_frames,1000,5ioxmnru,0.37103188037872314,0.1316860020160675,0.31697726249694824,0.11513985693454742,0.4473128616809845,0.1617288738489151,0.10693474113941193,0.9312205910682678,"[0.444553405046463, 0.2078099101781845, 0.0, 0.006066733971238136, 0.0]","[0.36610397696495056, 0.16334645450115204, -0.0, 0.004245194606482983, 0.0009780211839824915]","[0.373623788356781, 0.1988075226545334, 0.0, 0.003267973894253373, 0.0]","[0.5487245917320251, 0.21766625344753265, 0.0, 0.0422535203397274, 0.0]","[11565.0, 4902.0, 0.0, 71.0, 41.0]",0.38192638754844666,0.32618165016174316,0.33164817094802856,0.2862156629562378,0.4501730799674988,0.3831954300403595,0.2647252082824707,0.8359161019325256,"[0.444553405046463, 0.2078099101781845]","[0.36610397696495056, 0.16334645450115204]","[0.373623788356781, 0.1988075226545334]","[0.5487245917320251, 0.21766625344753265]","[11565.0, 4902.0]",0.005190311465412378,0.003033366985619068,0.0028735632076859474,0.0016339869471266866,0.02678571455180645,0.0211267601698637,0.0026116077788174152,0.9921353459358215,"[0.006066733971238136, 0.0]","[0.004245194606482983, 0.0009780211839824915]","[0.003267973894253373, 0.0]","[0.0422535203397274, 0.0]","[71.0, 41.0]",,,,
,100,coralcam,val_mAP,mean,random,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,4vtyak8i,coralcam,test_frames,1000,tukhwuhk,0.08601923286914825,0.024585861712694168,0.3468257486820221,0.15205448865890503,0.04909825697541237,0.014147474430501461,0.1030278354883194,0.9526808261871338,"[0.12170781195163727, 0.0012214983580633998, 0.0, 0.0, 0.0]","[0.35824695229530334, 0.15024375915527344, -0.0, 0.005277912598103285, 0.0013705159071832895]","[0.4602724313735962, 0.30000001192092896, 0.0, 0.0, 0.0]","[0.07012537866830826, 0.0006119951140135527, 0.0, 0.0, 0.0]","[11565.0, 4902.0, 0.0, 71.0, 41.0]",0.08925928175449371,0.06146465614438057,0.459367960691452,0.3801362216472626,0.04943219944834709,0.03536868840456009,0.2542453408241272,0.8864003419876099,"[0.12170781195163727, 0.0012214983580633998]","[0.35824695229530334, 0.15024375915527344]","[0.4602724313735962, 0.30000001192092896]","[0.07012537866830826, 0.0006119951140135527]","[11565.0, 4902.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.003324214369058609,0.9953017234802246,"[0.0, 0.0]","[0.005277912598103285, 0.0013705159071832895]","[0.0, 0.0]","[0.0, 0.0]","[71.0, 41.0]",,,,
,100,coralcam,val_mAP,mean,random,False,dino_large,False,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,8p9an3a8,coralcam,test_frames,1000,kugfaexg,0.18887166678905487,0.050410300493240356,0.5516939163208008,0.11033878475427628,0.1139393225312233,0.032667532563209534,0.11898641288280487,0.9556160569190979,"[0.2520515024662018, 0.0, 0.0, 0.0, 0.0]","[0.4309278726577759, 0.1595533788204193, -0.0, 0.0039026783779263496, 0.0005481390981003642]","[0.5516939163208008, 0.0, 0.0, 0.0, 0.0]","[0.16333766281604767, 0.0, 0.0, 0.0, 0.0]","[11565.0, 4902.0, 0.0, 71.0, 41.0]",0.18993514776229858,0.1260257512331009,0.5516939163208008,0.2758469581604004,0.11471427977085114,0.08166883140802383,0.2952406406402588,0.8898060321807861,"[0.2520515024662018, 0.0]","[0.4309278726577759, 0.1595533788204193]","[0.5516939163208008, 0.0]","[0.16333766281604767, 0.0]","[11565.0, 4902.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.002225408796221018,0.9992340803146362,"[0.0, 0.0]","[0.0039026783779263496, 0.0005481390981003642]","[0.0, 0.0]","[0.0, 0.0]","[71.0, 41.0]",,,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,True,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'uniform'},fish-benchmark,r1rdqini,coralcam,test_frames,1000,6w2d32yq,0.4413093328475952,0.11276993900537491,0.6143661141395569,0.24814382195472717,0.3443200886249542,0.09974843263626099,0.14384646713733673,0.9614344835281372,"[0.5452929735183716, 0.01855670101940632, 0.0, 0.0, 0.0]","[0.5867065191268921, 0.1314048171043396, -0.0, 0.0007580433157272637, 0.00036290878779254854]","[0.6157190799713135, 0.625, 0.0, 0.0, 0.0]","[0.48932400345802307, 0.009418166242539883, 0.0, 0.0, 0.0]","[11287.0, 4778.0, 0.0, 70.0, 36.0]",0.44354164600372314,0.281924843788147,0.615792989730835,0.6203595399856567,0.346591979265213,0.24937108159065247,0.35905566811561584,0.9044548273086548,"[0.5452929735183716, 0.01855670101940632]","[0.5867065191268921, 0.1314048171043396]","[0.6157190799713135, 0.625]","[0.48932400345802307, 0.009418166242539883]","[11287.0, 4778.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0005604760372079909,0.999131441116333,"[0.0, 0.0]","[0.0007580433157272637, 0.00036290878779254854]","[0.0, 0.0]","[0.0, 0.0]","[70.0, 36.0]",dino_balanced_finetune_coralcam_frames,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,dino_large,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,duhn3c2b,coralcam,test_frames,1000,n6w2ccic,0.38873547315597534,0.09434366226196289,0.4043149948120117,0.12032977491617203,0.37431204319000244,0.10785961151123047,0.10237282514572144,0.9479264616966248,"[0.46152669191360474, 0.010191601701080799, 0.0, 0.0, 0.0]","[0.41972485184669495, 0.09021186083555222, -0.0, 0.0008985829772427678, 0.001028835540637374]","[0.40633636713027954, 0.1953125, 0.0, 0.0, 0.0]","[0.5340657234191895, 0.005232314579188824, 0.0, 0.0, 0.0]","[11287.0, 4778.0, 0.0, 70.0, 36.0]",0.39016371965408325,0.23585914075374603,0.40453118085861206,0.30082443356513977,0.3767818212509155,0.26964902877807617,0.2549683451652527,0.8705958127975464,"[0.46152669191360474, 0.010191601701080799]","[0.41972485184669495, 0.09021186083555222]","[0.40633636713027954, 0.1953125]","[0.5340657234191895, 0.005232314579188824]","[11287.0, 4778.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0009637092589400709,0.9992203712463379,"[0.0, 0.0]","[0.0008985829772427678, 0.001028835540637374]","[0.0, 0.0]","[0.0, 0.0]","[70.0, 36.0]",dino_balanced_focal_finetune_coralcam_frames,onehot,,
,40,coralcam,val_mAP,mean,balanced,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,"{'weight_method': 'focal_loss', 'focal_loss_alpha': 0.5, 'focal_loss_gamma': 1}",fish-benchmark,4ppn5r9g,coralcam,test_frames,1000,hrpp4opa,0.43810394406318665,0.121969074010849,0.50732421875,0.18893691897392273,0.38550490140914917,0.11613602936267853,0.1373797059059143,0.9562561511993408,"[0.5215161442756653, 0.0883292630314827, 0.0, 0.0, 0.0]","[0.5275667309761047, 0.15712659060955048, -0.0, 0.0017118226969614625, 0.0004933590535074472]","[0.5119037628173828, 0.4327808618545532, 0.0, 0.0, 0.0]","[0.5314964056015015, 0.04918375983834267, 0.0, 0.0, 0.0]","[11287.0, 4778.0, 0.0, 70.0, 36.0]",0.44014543294906616,0.3049226999282837,0.5083999633789062,0.472342312335968,0.38804855942726135,0.2903400957584381,0.3423466682434082,0.8915430903434753,"[0.5215161442756653, 0.0883292630314827]","[0.5275667309761047, 0.15712659060955048]","[0.5119037628173828, 0.4327808618545532]","[0.5314964056015015, 0.04918375983834267]","[11287.0, 4778.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0011025909334421158,0.9990972876548767,"[0.0, 0.0]","[0.0017118226969614625, 0.0004933590535074472]","[0.0, 0.0]","[0.0, 0.0]","[70.0, 36.0]",,,,
,100,coralcam,val_mAP,mean,random,False,resnet50,True,adam,,32,mlp,0.001,5e-05,frames,{'weight_method': 'inverse'},fish-benchmark,8q7742l5,coralcam,test_frames,1000,mo4vqmr9,0.28516343235969543,0.09693708270788193,0.46415621042251587,0.18404528498649597,0.20580050349235535,0.06712948530912399,0.12590530514717102,0.9543576836585999,"[0.3695235848426819, 0.11516183614730835, 0.0, 0.0, 0.0]","[0.48749691247940063, 0.1409028172492981, -0.0, 0.0007595415227115154, 0.0003672617895063013]","[0.610702633857727, 0.3095238208770752, 0.0, 0.0, 0.0]","[0.26490652561187744, 0.07074089348316193, 0.0, 0.0, 0.0]","[11287.0, 4778.0, 0.0, 70.0, 36.0]",0.3018183410167694,0.24234271049499512,0.5557782053947449,0.4601132273674011,0.2071584165096283,0.1678237020969391,0.31419986486434937,0.894702672958374,"[0.3695235848426819, 0.11516183614730835]","[0.48749691247940063, 0.1409028172492981]","[0.610702633857727, 0.3095238208770752]","[0.26490652561187744, 0.07074089348316193]","[11287.0, 4778.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0005634016706608236,0.9911916255950928,"[0.0, 0.0]","[0.0007595415227115154, 0.0003672617895063013]","[0.0, 0.0]","[0.0, 0.0]","[70.0, 36.0]",,,,
,100,coralcam,val_mAP,mean,random,False,videomae,False,adam,,32,mlp,0.001,5e-05,sliding_window_w_stride,{'weight_method': 'inverse'},fish-benchmark,bzn9b1ne,coralcam,test_sliding_window,1000,08zpdicf,0.1402784138917923,0.03766285255551338,0.09604720771312714,0.0939277857542038,0.260022908449173,0.17345166206359863,0.08074688911437988,0.8553835153579712,"[0.018537243828177452, 0.1697770208120346, 0.0, 0.0, 0.0]","[0.250895619392395, 0.12109892070293427, -0.0, 0.030981000512838364, 0.0007588955340906978]","[0.37542662024497986, 0.09421231597661972, 0.0, 0.0, 0.0]","[0.009503239765763283, 0.8577551245689392, 0.0, 0.0, 0.0]","[11575.0, 4900.0, 0.0, 71.0, 41.0]",0.14053437113761902,0.0941571295261383,0.09604720771312714,0.2348194718360901,0.26179060339927673,0.43362918496131897,0.18599727749824524,0.6392247676849365,"[0.018537243828177452, 0.1697770208120346]","[0.250895619392395, 0.12109892070293427]","[0.37542662024497986, 0.09421231597661972]","[0.009503239765763283, 0.8577551245689392]","[11575.0, 4900.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.015869947150349617,0.9992340803146362,"[0.0, 0.0]","[0.030981000512838364, 0.0007588955340906978]","[0.0, 0.0]","[0.0, 0.0]","[71.0, 41.0]",,,,
